Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Cost of a healthy diet [CoHD],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 1.1,FPN 1.1,"Egypt, Arab Rep.",EGY,2018,YR2018,103740765,70.2,72.9,3.507,..
Food Prices for Nutrition 1.1,FPN 1.1,"Egypt, Arab Rep.",EGY,2019,YR2019,105618671,67.7,70.2,3.503,..
Food Prices for Nutrition 1.1,FPN 1.1,"Egypt, Arab Rep.",EGY,2020,YR2020,107465134,63.9,66.3,3.369,..
Food Prices for Nutrition 1.1,FPN 1.1,El Salvador,SLV,2017,YR2017,6266654,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,El Salvador,SLV,2018,YR2018,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,El Salvador,SLV,2019,YR2019,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,El Salvador,SLV,2020,YR2020,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Equatorial Guinea,GNQ,2017,YR2017,1450694,..,..,3.526,0.365
Food Prices for Nutrition 1.1,FPN 1.1,Equatorial Guinea,GNQ,2018,YR2018,1502091,..,..,3.599,..
Food Prices for Nutrition 1.1,FPN 1.1,Equatorial Guinea,GNQ,2019,YR2019,1553031,..,..,3.635,..
Food Prices for Nutrition 1.1,FPN 1.1,Equatorial Guinea,GNQ,2020,YR2020,1596049,..,..,3.676,..
Food Prices for Nutrition 1.1,FPN 1.1,Estonia,EST,2017,YR2017,1317384,1,0,3.125,0.372
Food Prices for Nutrition 1.1,FPN 1.1,Estonia,EST,2018,YR2018,1321977,0.8,0,3.188,..
Food Prices for Nutrition 1.1,FPN 1.1,Estonia,EST,2019,YR2019,1326898,1.3,0,3.17,..
Food Prices for Nutrition 1.1,FPN 1.1,Estonia,EST,2020,YR2020,1329522,1.3,0,3.308,..
Food Prices for Nutrition 1.1,FPN 1.1,Eswatini,SWZ,2017,YR2017,1151390,77.1,0.9,3.428,0.562
Food Prices for Nutrition 1.1,FPN 1.1,Eswatini,SWZ,2018,YR2018,1160428,75.9,0.9,3.349,..
Food Prices for Nutrition 1.1,FPN 1.1,Eswatini,SWZ,2019,YR2019,1169613,75.3,0.9,3.395,..
Food Prices for Nutrition 1.1,FPN 1.1,Eswatini,SWZ,2020,YR2020,1180655,75,0.9,3.391,..
Food Prices for Nutrition 1.1,FPN 1.1,Ethiopia,ETH,2017,YR2017,108197950,85.8,92.8,3.108,2.188
Food Prices for Nutrition 1.1,FPN 1.1,Ethiopia,ETH,2018,YR2018,111129438,84,93.4,3.147,..
Food Prices for Nutrition 1.1,FPN 1.1,Ethiopia,ETH,2019,YR2019,114120594,83.3,92.6,3.29,..
Food Prices for Nutrition 1.1,FPN 1.1,Ethiopia,ETH,2020,YR2020,117190911,83.7,93.1,3.366,..
Food Prices for Nutrition 1.1,FPN 1.1,Europe & Central Asia,ECS,2017,YR2017,826577667,3.8,31.4,2.954,..
Food Prices for Nutrition 1.1,FPN 1.1,Europe & Central Asia,ECS,2018,YR2018,829040196,3.3,27.4,3.016,..
Food Prices for Nutrition 1.1,FPN 1.1,Europe & Central Asia,ECS,2019,YR2019,830965742,3.3,27.5,3.037,..
Food Prices for Nutrition 1.1,FPN 1.1,Europe & Central Asia,ECS,2020,YR2020,832392458,3.4,28.4,3.139,..
Food Prices for Nutrition 1.1,FPN 1.1,Fiji,FJI,2017,YR2017,919019,44.5,0.4,3.612,0.468
Food Prices for Nutrition 1.1,FPN 1.1,Fiji,FJI,2018,YR2018,918996,45.7,0.4,3.677,..
Food Prices for Nutrition 1.1,FPN 1.1,Fiji,FJI,2019,YR2019,918465,53,0.5,3.858,..
Food Prices for Nutrition 1.1,FPN 1.1,Fiji,FJI,2020,YR2020,920422,53.2,0.5,3.914,..
Food Prices for Nutrition 1.1,FPN 1.1,Finland,FIN,2017,YR2017,5508214,0.1,0,2.545,0.358
Food Prices for Nutrition 1.1,FPN 1.1,Finland,FIN,2018,YR2018,5515525,0.2,0,2.624,..
Food Prices for Nutrition 1.1,FPN 1.1,Finland,FIN,2019,YR2019,5521606,0.1,0,2.611,..
Food Prices for Nutrition 1.1,FPN 1.1,Finland,FIN,2020,YR2020,5529543,0.1,0,2.712,..
Food Prices for Nutrition 1.1,FPN 1.1,France,FRA,2017,YR2017,66918020,0.1,0,2.936,0.373
Food Prices for Nutrition 1.1,FPN 1.1,France,FRA,2018,YR2018,67158348,0.1,0.1,3.019,..
Food Prices for Nutrition 1.1,FPN 1.1,France,FRA,2019,YR2019,67388001,0.1,0.1,3.067,..
Food Prices for Nutrition 1.1,FPN 1.1,France,FRA,2020,YR2020,67571107,0.1,0.1,3.219,..
Food Prices for Nutrition 1.1,FPN 1.1,Gabon,GAB,2017,YR2017,2140215,28.5,0.6,3.358,0.773
Food Prices for Nutrition 1.1,FPN 1.1,Gabon,GAB,2018,YR2018,2192012,28.7,0.6,3.403,..
Food Prices for Nutrition 1.1,FPN 1.1,Gabon,GAB,2019,YR2019,2242785,28.5,0.6,3.485,..
Food Prices for Nutrition 1.1,FPN 1.1,Gabon,GAB,2020,YR2020,2292573,28.6,0.6,3.552,..
Food Prices for Nutrition 1.1,FPN 1.1,"Gambia, The",GMB,2017,YR2017,2381182,71.7,1.7,2.942,1.167
Food Prices for Nutrition 1.1,FPN 1.1,"Gambia, The",GMB,2018,YR2018,2444916,69.3,1.7,3.008,..
Food Prices for Nutrition 1.1,FPN 1.1,"Gambia, The",GMB,2019,YR2019,2508883,66.6,1.6,3.054,..
Food Prices for Nutrition 1.1,FPN 1.1,"Gambia, The",GMB,2020,YR2020,2573995,67,1.6,3.11,..
Food Prices for Nutrition 1.1,FPN 1.1,Germany,DEU,2017,YR2017,82657002,0.2,0.2,2.786,0.384
Food Prices for Nutrition 1.1,FPN 1.1,Germany,DEU,2018,YR2018,82905782,0.2,0.2,2.917,..
Food Prices for Nutrition 1.1,FPN 1.1,Germany,DEU,2019,YR2019,83092962,0.2,0.2,2.881,..
Food Prices for Nutrition 1.1,FPN 1.1,Germany,DEU,2020,YR2020,83160871,0.2,0.2,3.025,..
Food Prices for Nutrition 1.1,FPN 1.1,Ghana,GHA,2017,YR2017,30222262,80,24.2,3.767,2.288
Food Prices for Nutrition 1.1,FPN 1.1,Ghana,GHA,2018,YR2018,30870641,78.7,24.3,3.86,..
Food Prices for Nutrition 1.1,FPN 1.1,Ghana,GHA,2019,YR2019,31522290,77,23.8,3.941,..
Food Prices for Nutrition 1.1,FPN 1.1,Ghana,GHA,2020,YR2020,32180401,77.5,23.9,4.033,..
Food Prices for Nutrition 1.1,FPN 1.1,Greece,GRC,2017,YR2017,10754679,3.8,0.4,3.037,0.345
Food Prices for Nutrition 1.1,FPN 1.1,Greece,GRC,2018,YR2018,10732882,2.1,0.2,3.102,..
Food Prices for Nutrition 1.1,FPN 1.1,Greece,GRC,2019,YR2019,10721582,2.7,0.3,3.065,..
Food Prices for Nutrition 1.1,FPN 1.1,Greece,GRC,2020,YR2020,10698599,2.8,0.3,3.13,..
Food Prices for Nutrition 1.1,FPN 1.1,Grenada,GRD,2017,YR2017,120921,..,..,5.382,0.67
Food Prices for Nutrition 1.1,FPN 1.1,Grenada,GRD,2018,YR2018,121838,..,..,5.536,..
Food Prices for Nutrition 1.1,FPN 1.1,Grenada,GRD,2019,YR2019,122724,..,..,5.625,..
Food Prices for Nutrition 1.1,FPN 1.1,Grenada,GRD,2020,YR2020,123663,..,..,5.796,..
Food Prices for Nutrition 1.1,FPN 1.1,Guinea,GIN,2017,YR2017,12240789,88.4,10.8,3.655,0.995
Food Prices for Nutrition 1.1,FPN 1.1,Guinea,GIN,2018,YR2018,12554864,89,11.2,3.863,..
Food Prices for Nutrition 1.1,FPN 1.1,Guinea,GIN,2019,YR2019,12877539,88.9,11.2,4.001,..
Food Prices for Nutrition 1.1,FPN 1.1,Guinea,GIN,2020,YR2020,13205153,89.5,11.2,4.127,..
Food Prices for Nutrition 1.1,FPN 1.1,Guinea-Bissau,GNB,2017,YR2017,1879826,84.4,1.6,3.164,0.893
Food Prices for Nutrition 1.1,FPN 1.1,Guinea-Bissau,GNB,2018,YR2018,1924955,84.8,1.6,3.254,..
Food Prices for Nutrition 1.1,FPN 1.1,Guinea-Bissau,GNB,2019,YR2019,1970457,83,1.6,3.335,..
Food Prices for Nutrition 1.1,FPN 1.1,Guinea-Bissau,GNB,2020,YR2020,2015828,84.5,1.6,3.505,..
Food Prices for Nutrition 1.1,FPN 1.1,Guyana,GUY,2017,YR2017,763252,46.5,0.4,4.629,1.179
Food Prices for Nutrition 1.1,FPN 1.1,Guyana,GUY,2018,YR2018,785514,44.3,0.3,4.742,..
Food Prices for Nutrition 1.1,FPN 1.1,Guyana,GUY,2019,YR2019,798753,41.3,0.3,4.828,..
Food Prices for Nutrition 1.1,FPN 1.1,Guyana,GUY,2020,YR2020,797202,41.4,0.3,4.889,..
Food Prices for Nutrition 1.1,FPN 1.1,Haiti,HTI,2017,YR2017,10863543,85.5,9.3,3.93,1.476
Food Prices for Nutrition 1.1,FPN 1.1,Haiti,HTI,2018,YR2018,11012421,85.5,9.4,4.075,..
Food Prices for Nutrition 1.1,FPN 1.1,Haiti,HTI,2019,YR2019,11160438,87.6,9.6,4.275,..
Food Prices for Nutrition 1.1,FPN 1.1,Haiti,HTI,2020,YR2020,11306801,88.3,9.7,4.49,..
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2017,YR2017,1195574812,1.6,18.1,3.138,..
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2018,YR2018,1177825126,1.5,16.7,3.198,..
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2019,YR2019,1183015183,1.3,15,3.225,..
Food Prices for Nutrition 1.1,FPN 1.1,High income,HIC,2020,YR2020,1187991911,1.4,15.7,3.354,..
Food Prices for Nutrition 1.1,FPN 1.1,Honduras,HND,2017,YR2017,9626842,48.5,4.7,3.36,0.956
Food Prices for Nutrition 1.1,FPN 1.1,Honduras,HND,2018,YR2018,9792850,48,4.7,3.415,..
Food Prices for Nutrition 1.1,FPN 1.1,Honduras,HND,2019,YR2019,9958829,46.5,4.6,3.404,..
Food Prices for Nutrition 1.1,FPN 1.1,Honduras,HND,2020,YR2020,10121763,46.9,4.6,3.486,..
Food Prices for Nutrition 1.1,FPN 1.1,"Hong Kong SAR, China",HKG,2017,YR2017,7393200,..,..,3.659,0.321
Food Prices for Nutrition 1.1,FPN 1.1,"Hong Kong SAR, China",HKG,2018,YR2018,7452600,..,..,3.819,..
Food Prices for Nutrition 1.1,FPN 1.1,"Hong Kong SAR, China",HKG,2019,YR2019,7507900,..,..,4.147,..
Food Prices for Nutrition 1.1,FPN 1.1,"Hong Kong SAR, China",HKG,2020,YR2020,7481000,..,..,4.513,..
Food Prices for Nutrition 1.1,FPN 1.1,Hungary,HUN,2017,YR2017,9787966,3.7,0.4,3.302,0.491
Food Prices for Nutrition 1.1,FPN 1.1,Hungary,HUN,2018,YR2018,9775564,2.4,0.2,3.383,..
Food Prices for Nutrition 1.1,FPN 1.1,Hungary,HUN,2019,YR2019,9771141,2.1,0.2,3.368,..
Food Prices for Nutrition 1.1,FPN 1.1,Hungary,HUN,2020,YR2020,9750149,2.2,0.2,3.488,..
Food Prices for Nutrition 1.1,FPN 1.1,Iceland,ISL,2017,YR2017,343400,0,0,2.213,0.247
Food Prices for Nutrition 1.1,FPN 1.1,Iceland,ISL,2018,YR2018,352721,0,0,2.247,..
Food Prices for Nutrition 1.1,FPN 1.1,Iceland,ISL,2019,YR2019,360563,0,0,2.234,..
Food Prices for Nutrition 1.1,FPN 1.1,Iceland,ISL,2020,YR2020,366463,0,0,2.414,..
Food Prices for Nutrition 1.1,FPN 1.1,India,IND,2017,YR2017,1354195680,78.8,1067.4,2.824,0.979
Food Prices for Nutrition 1.1,FPN 1.1,India,IND,2018,YR2018,1369003306,73.2,1001.9,2.83,..
Food Prices for Nutrition 1.1,FPN 1.1,India,IND,2019,YR2019,1383112050,71.1,973,2.877,..
Food Prices for Nutrition 1.1,FPN 1.1,India,IND,2020,YR2020,1396387127,72.2,988.2,2.97,..
Food Prices for Nutrition 1.1,FPN 1.1,Indonesia,IDN,2017,YR2017,264498852,72.8,192.5,4.129,0.844
Food Prices for Nutrition 1.1,FPN 1.1,Indonesia,IDN,2018,YR2018,267066843,71,189.6,4.273,..
Food Prices for Nutrition 1.1,FPN 1.1,Indonesia,IDN,2019,YR2019,269582878,69.5,185.7,4.268,..
Food Prices for Nutrition 1.1,FPN 1.1,Indonesia,IDN,2020,YR2020,271857970,71.3,190.3,4.466,..
Food Prices for Nutrition 1.1,FPN 1.1,"Iran, Islamic Rep.",IRN,2017,YR2017,84505076,14.4,12.1,3.005,0.753
Food Prices for Nutrition 1.1,FPN 1.1,"Iran, Islamic Rep.",IRN,2018,YR2018,85617562,16.6,14.2,3.212,..
Food Prices for Nutrition 1.1,FPN 1.1,"Iran, Islamic Rep.",IRN,2019,YR2019,86564202,26,22.2,3.642,..
Food Prices for Nutrition 1.1,FPN 1.1,"Iran, Islamic Rep.",IRN,2020,YR2020,87290193,24.1,20.6,3.55,..
Food Prices for Nutrition 1.1,FPN 1.1,Iraq,IRQ,2017,YR2017,39621162,17.2,6.8,3.378,0.726
Food Prices for Nutrition 1.1,FPN 1.1,Iraq,IRQ,2018,YR2018,40590700,17.1,6.9,3.464,..
Food Prices for Nutrition 1.1,FPN 1.1,Iraq,IRQ,2019,YR2019,41563520,15.5,6.3,3.534,..
Food Prices for Nutrition 1.1,FPN 1.1,Iraq,IRQ,2020,YR2020,42556984,15,6.1,3.54,..
Food Prices for Nutrition 1.1,FPN 1.1,Ireland,IRL,2017,YR2017,4807388,0.4,0,2.397,0.491
Food Prices for Nutrition 1.1,FPN 1.1,Ireland,IRL,2018,YR2018,4867316,0.1,0,2.341,..
Food Prices for Nutrition 1.1,FPN 1.1,Ireland,IRL,2019,YR2019,4934340,0.1,0,2.269,..
Food Prices for Nutrition 1.1,FPN 1.1,Ireland,IRL,2020,YR2020,4985382,0.1,0,2.225,..
Food Prices for Nutrition 1.1,FPN 1.1,Israel,ISR,2017,YR2017,8713300,1.9,0.2,2.436,0.299
Food Prices for Nutrition 1.1,FPN 1.1,Israel,ISR,2018,YR2018,8882800,1.2,0.1,2.5,..
Food Prices for Nutrition 1.1,FPN 1.1,Israel,ISR,2019,YR2019,9054000,1.2,0.1,2.454,..
Food Prices for Nutrition 1.1,FPN 1.1,Israel,ISR,2020,YR2020,9215100,1.2,0.1,2.492,..
Food Prices for Nutrition 1.1,FPN 1.1,Italy,ITA,2017,YR2017,60536709,2.8,1.7,2.885,0.325
Food Prices for Nutrition 1.1,FPN 1.1,Italy,ITA,2018,YR2018,60421760,2.8,1.7,2.979,..
Food Prices for Nutrition 1.1,FPN 1.1,Italy,ITA,2019,YR2019,59729081,2.7,1.7,3.012,..
Food Prices for Nutrition 1.1,FPN 1.1,Italy,ITA,2020,YR2020,59438851,2.8,1.7,3.144,..
Food Prices for Nutrition 1.1,FPN 1.1,Jamaica,JAM,2017,YR2017,2808376,58.7,1.6,5.975,0.917
Food Prices for Nutrition 1.1,FPN 1.1,Jamaica,JAM,2018,YR2018,2811835,58.1,1.6,6.141,..
Food Prices for Nutrition 1.1,FPN 1.1,Jamaica,JAM,2019,YR2019,2813773,59.1,1.7,6.398,..
Food Prices for Nutrition 1.1,FPN 1.1,Jamaica,JAM,2020,YR2020,2820436,60.7,1.7,6.681,..
Food Prices for Nutrition 1.1,FPN 1.1,Japan,JPN,2017,YR2017,126972000,2.7,3.4,5.529,0.64
Food Prices for Nutrition 1.1,FPN 1.1,Japan,JPN,2018,YR2018,126811000,2.7,3.4,5.701,..
Food Prices for Nutrition 1.1,FPN 1.1,Japan,JPN,2019,YR2019,126633000,2.5,3.2,5.609,..
Food Prices for Nutrition 1.1,FPN 1.1,Japan,JPN,2020,YR2020,126261000,2.7,3.4,5.808,..
Food Prices for Nutrition 1.1,FPN 1.1,Jordan,JOR,2017,YR2017,10215381,3.9,0.4,3.412,0.732
Food Prices for Nutrition 1.1,FPN 1.1,Jordan,JOR,2018,YR2018,10459865,3.6,0.4,3.454,..
Food Prices for Nutrition 1.1,FPN 1.1,Jordan,JOR,2019,YR2019,10698683,3.2,0.3,3.5,..
Food Prices for Nutrition 1.1,FPN 1.1,Jordan,JOR,2020,YR2020,10928721,3.6,0.4,3.614,..
Food Prices for Nutrition 1.1,FPN 1.1,Kazakhstan,KAZ,2017,YR2017,18037776,2.5,0.5,2.391,0.283
Food Prices for Nutrition 1.1,FPN 1.1,Kazakhstan,KAZ,2018,YR2018,18276452,1.7,0.3,2.426,..
Food Prices for Nutrition 1.1,FPN 1.1,Kazakhstan,KAZ,2019,YR2019,18513673,1.6,0.3,2.537,..
Food Prices for Nutrition 1.1,FPN 1.1,Kazakhstan,KAZ,2020,YR2020,18755666,1.9,0.3,2.657,..
Food Prices for Nutrition 1.1,FPN 1.1,Kenya,KEN,2017,YR2017,48948137,77.5,37.9,2.846,0.79
Food Prices for Nutrition 1.1,FPN 1.1,Kenya,KEN,2018,YR2018,49953304,74.8,37.4,2.823,..
Food Prices for Nutrition 1.1,FPN 1.1,Kenya,KEN,2019,YR2019,50951450,74.1,37,2.907,..
Food Prices for Nutrition 1.1,FPN 1.1,Kenya,KEN,2020,YR2020,51985780,74.5,37.2,2.968,..
Food Prices for Nutrition 1.1,FPN 1.1,"Korea, Rep.",KOR,2017,YR2017,51361911,2.2,1.2,4.712,0.908
Food Prices for Nutrition 1.1,FPN 1.1,"Korea, Rep.",KOR,2018,YR2018,51585058,2,1,4.9,..
Food Prices for Nutrition 1.1,FPN 1.1,"Korea, Rep.",KOR,2019,YR2019,51764822,1.7,0.9,4.8,..
Food Prices for Nutrition 1.1,FPN 1.1,"Korea, Rep.",KOR,2020,YR2020,51836239,2.2,1.2,5.183,..
Food Prices for Nutrition 1.1,FPN 1.1,Kuwait,KWT,2017,YR2017,4124904,..,..,3.344,0.526
Food Prices for Nutrition 1.1,FPN 1.1,Kuwait,KWT,2018,YR2018,4317185,..,..,3.407,..
Food Prices for Nutrition 1.1,FPN 1.1,Kuwait,KWT,2019,YR2019,4441100,..,..,3.468,..
Food Prices for Nutrition 1.1,FPN 1.1,Kuwait,KWT,2020,YR2020,4360444,..,..,3.606,..
Food Prices for Nutrition 1.1,FPN 1.1,Kyrgyz Republic,KGZ,2017,YR2017,6198200,56.3,3.5,2.97,0.676
Food Prices for Nutrition 1.1,FPN 1.1,Kyrgyz Republic,KGZ,2018,YR2018,6322800,47.2,3,2.931,..
Food Prices for Nutrition 1.1,FPN 1.1,Kyrgyz Republic,KGZ,2019,YR2019,6456200,45,2.8,2.991,..
Food Prices for Nutrition 1.1,FPN 1.1,Kyrgyz Republic,KGZ,2020,YR2020,6579900,49.3,3.1,3.18,..
Food Prices for Nutrition 1.1,FPN 1.1,Lao PDR,LAO,2017,YR2017,6997917,75.3,5.3,3.776,0.894
Food Prices for Nutrition 1.1,FPN 1.1,Lao PDR,LAO,2018,YR2018,7105006,73.6,5.2,3.838,..
Food Prices for Nutrition 1.1,FPN 1.1,Lao PDR,LAO,2019,YR2019,7212053,72.7,5.2,3.959,..
Food Prices for Nutrition 1.1,FPN 1.1,Lao PDR,LAO,2020,YR2020,7319399,74.3,5.3,4.141,..
Food Prices for Nutrition 1.1,FPN 1.1,Latin America & Caribbean,LCN,2017,YR2017,572342871,22.1,124.5,3.619,..
Food Prices for Nutrition 1.1,FPN 1.1,Latin America & Caribbean,LCN,2018,YR2018,572237142,20.9,119.2,3.687,..
Food Prices for Nutrition 1.1,FPN 1.1,Latin America & Caribbean,LCN,2019,YR2019,578509517,21,119.8,3.767,..
Food Prices for Nutrition 1.1,FPN 1.1,Latin America & Caribbean,LCN,2020,YR2020,583891678,22.1,126,3.894,..
Food Prices for Nutrition 1.1,FPN 1.1,Latvia,LVA,2017,YR2017,1942248,3.4,0.1,3.124,0.428
Food Prices for Nutrition 1.1,FPN 1.1,Latvia,LVA,2018,YR2018,1927174,2.4,0,3.13,..
Food Prices for Nutrition 1.1,FPN 1.1,Latvia,LVA,2019,YR2019,1913822,1.7,0,3.132,..
Food Prices for Nutrition 1.1,FPN 1.1,Latvia,LVA,2020,YR2020,1900449,1.8,0,3.24,..
Food Prices for Nutrition 1.1,FPN 1.1,Lesotho,LSO,2017,YR2017,2170617,83.2,1.8,3.77,1.463
Food Prices for Nutrition 1.1,FPN 1.1,Lesotho,LSO,2018,YR2018,2198017,83.5,1.8,3.878,..
Food Prices for Nutrition 1.1,FPN 1.1,Lesotho,LSO,2019,YR2019,2225702,84.4,1.9,4.01,..
Food Prices for Nutrition 1.1,FPN 1.1,Lesotho,LSO,2020,YR2020,2254100,86,1.9,4.266,..
Food Prices for Nutrition 1.1,FPN 1.1,Liberia,LBR,2017,YR2017,4796631,92.1,4.4,4.018,5.272
Food Prices for Nutrition 1.1,FPN 1.1,Liberia,LBR,2018,YR2018,4889391,91.8,4.5,4.03160712053957,..
Food Prices for Nutrition 1.1,FPN 1.1,Liberia,LBR,2019,YR2019,4985289,91.6,4.5,3.847,..
Food Prices for Nutrition 1.1,FPN 1.1,Liberia,LBR,2020,YR2020,5087584,91.6,4.5,3.903,..
Food Prices for Nutrition 1.1,FPN 1.1,Lithuania,LTU,2017,YR2017,2828403,3.3,0.1,3.003,0.263
Food Prices for Nutrition 1.1,FPN 1.1,Lithuania,LTU,2018,YR2018,2801543,2.3,0.1,3.042,..
Food Prices for Nutrition 1.1,FPN 1.1,Lithuania,LTU,2019,YR2019,2794137,1.2,0,3.039,..
Food Prices for Nutrition 1.1,FPN 1.1,Lithuania,LTU,2020,YR2020,2794885,1.2,0,3.099,..
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2017,YR2017,487090766,88.7,424.9,3.084,..
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2018,YR2018,493673305,87,429.5,3.094,..
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2019,YR2019,508292231,83.5,424.3,3.117,..
Food Prices for Nutrition 1.1,FPN 1.1,Low income,LIC,2020,YR2020,523220794,81.2,424.8,3.202,..
Food Prices for Nutrition 1.1,FPN 1.1,Lower middle income,LMC,2017,YR2017,3148189256,72.4,2263.2,3.398,..
Food Prices for Nutrition 1.1,FPN 1.1,Lower middle income,LMC,2018,YR2018,3185860100,69.3,2196.3,3.435,..
Food Prices for Nutrition 1.1,FPN 1.1,Lower middle income,LMC,2019,YR2019,3229603540,67.4,2166.7,3.596,..
Food Prices for Nutrition 1.1,FPN 1.1,Lower middle income,LMC,2020,YR2020,3272808843,67.4,2195.2,3.701,..
Food Prices for Nutrition 1.1,FPN 1.1,Luxembourg,LUX,2017,YR2017,596336,0.4,0,2.492,0.298
Food Prices for Nutrition 1.1,FPN 1.1,Luxembourg,LUX,2018,YR2018,607950,0.4,0,2.627,..
Food Prices for Nutrition 1.1,FPN 1.1,Luxembourg,LUX,2019,YR2019,620001,0.1,0,2.6,..
Food Prices for Nutrition 1.1,FPN 1.1,Luxembourg,LUX,2020,YR2020,630419,0.1,0,2.661,..
Food Prices for Nutrition 1.1,FPN 1.1,Madagascar,MDG,2017,YR2017,26169542,97.1,25.4,2.987,1.627
Food Prices for Nutrition 1.1,FPN 1.1,Madagascar,MDG,2018,YR2018,26846541,97.3,26.1,3.122,..
Food Prices for Nutrition 1.1,FPN 1.1,Madagascar,MDG,2019,YR2019,27533134,97.1,26.1,3.154,..
Food Prices for Nutrition 1.1,FPN 1.1,Madagascar,MDG,2020,YR2020,28225177,97.1,26.1,3.181,..
Food Prices for Nutrition 1.1,FPN 1.1,Malawi,MWI,2017,YR2017,17881167,94.5,16.9,2.724,2.095
Food Prices for Nutrition 1.1,FPN 1.1,Malawi,MWI,2018,YR2018,18367883,94.8,17.4,2.787,..
Food Prices for Nutrition 1.1,FPN 1.1,Malawi,MWI,2019,YR2019,18867337,95.4,17.5,2.989,..
Food Prices for Nutrition 1.1,FPN 1.1,Malawi,MWI,2020,YR2020,19377061,95.7,17.6,3.149,..
Food Prices for Nutrition 1.1,FPN 1.1,Malaysia,MYS,2017,YR2017,31975806,2.9,0.9,3.224,0.371
Food Prices for Nutrition 1.1,FPN 1.1,Malaysia,MYS,2018,YR2018,32399271,2.3,0.7,3.319,..
Food Prices for Nutrition 1.1,FPN 1.1,Malaysia,MYS,2019,YR2019,32804020,1.9,0.6,3.412,..
Food Prices for Nutrition 1.1,FPN 1.1,Malaysia,MYS,2020,YR2020,33199993,2,0.7,3.538,..
Food Prices for Nutrition 1.1,FPN 1.1,Maldives,MDV,2017,YR2017,472442,4,0,3.581,1.225
Food Prices for Nutrition 1.1,FPN 1.1,Maldives,MDV,2018,YR2018,489758,2.3,0,3.634,..
Food Prices for Nutrition 1.1,FPN 1.1,Maldives,MDV,2019,YR2019,504508,1.1,0,3.662,..
Food Prices for Nutrition 1.1,FPN 1.1,Maldives,MDV,2020,YR2020,514438,1.3,0,3.861,..
Food Prices for Nutrition 1.1,FPN 1.1,Mali,MLI,2017,YR2017,19311355,77,14.9,2.9,1.126
Food Prices for Nutrition 1.1,FPN 1.1,Mali,MLI,2018,YR2018,19934298,74.4,14.8,3.035,..
Food Prices for Nutrition 1.1,FPN 1.1,Mali,MLI,2019,YR2019,20567424,69.6,13.9,2.96,..
Food Prices for Nutrition 1.1,FPN 1.1,Mali,MLI,2020,YR2020,21224040,70.3,14,3.053,..
Food Prices for Nutrition 1.1,FPN 1.1,Malta,MLT,2017,YR2017,467999,0.3,0,3.494,0.512
Food Prices for Nutrition 1.1,FPN 1.1,Malta,MLT,2018,YR2018,484630,0.3,0,3.629,..
Food Prices for Nutrition 1.1,FPN 1.1,Malta,MLT,2019,YR2019,504062,0.7,0,3.698,..
Food Prices for Nutrition 1.1,FPN 1.1,Malta,MLT,2020,YR2020,515332,0.7,0,3.769,..
Food Prices for Nutrition 1.1,FPN 1.1,Mauritania,MRT,2017,YR2017,4160015,62.1,2.6,3.451,1.036
Food Prices for Nutrition 1.1,FPN 1.1,Mauritania,MRT,2018,YR2018,4270712,61.8,2.6,3.574,..
Food Prices for Nutrition 1.1,FPN 1.1,Mauritania,MRT,2019,YR2019,4383849,60.2,2.6,3.6541,..
Food Prices for Nutrition 1.1,FPN 1.1,Mauritania,MRT,2020,YR2020,4498604,60.1,2.6,3.692,..
Food Prices for Nutrition 1.1,FPN 1.1,Mauritius,MUS,2017,YR2017,1264613,10.9,0.1,3.313,0.318
Food Prices for Nutrition 1.1,FPN 1.1,Mauritius,MUS,2018,YR2018,1265303,9.6,0.1,3.396,..
Food Prices for Nutrition 1.1,FPN 1.1,Mauritius,MUS,2019,YR2019,1265711,8.6,0.1,3.439,..
Food Prices for Nutrition 1.1,FPN 1.1,Mauritius,MUS,2020,YR2020,1265740,9.6,0.1,3.604,..
Food Prices for Nutrition 1.1,FPN 1.1,Mexico,MEX,2017,YR2017,122839258,24.3,29.8,2.993,0.38
Food Prices for Nutrition 1.1,FPN 1.1,Mexico,MEX,2018,YR2018,124013861,23.1,28.7,3.071,..
Food Prices for Nutrition 1.1,FPN 1.1,Mexico,MEX,2019,YR2019,125085311,22.1,27.4,3.075,..
Food Prices for Nutrition 1.1,FPN 1.1,Mexico,MEX,2020,YR2020,125998302,24.5,30.4,3.293,..
Food Prices for Nutrition 1.1,FPN 1.1,Middle East & North Africa,MEA,2017,YR2017,395380211,32.3,112.6,3.14,..
