"Source: Inter-Parliamentary Union Open Data","","","","","","","","",""
"Date: 2023-04-20","","","","","","","","",""
"Ranking as of 1st March 2023","","","","","","","","",""
"","","","","","","","","",""
"Rank","Country","Lower or single House","","","","Upper chamber","","",""
"","","Elections","Seats*","Women","% W","Elections","Seats*","Women","% W"
"82","Egypt","10.2020","592","163","27.5","08.2020","300","41","13.7"
"83","El Salvador","02.2021","84","23","27.4","-","-","-","-"
"“","Kazakhstan","01.2021","106","29","27.4","01.2023","50","11","22"
"85","Honduras","11.2021","128","35","27.3","-","-","-","-"
"“","Philippines","05.2022","311","85","27.3","05.2022","24","7","29.2"
"87","Tajikistan","03.2020","63","17","27","03.2020","31","8","25.8"
"88","Barbados","01.2022","30","8","26.7","02.2022","19","8","42.1"
"89","Lesotho","10.2022","121","32","26.5","11.2022","33","8","24.2"
"90","Uruguay","10.2019","99","26","26.3","10.2019","31","9","29"
"91","Czech Republic","10.2021","200","52","26","09.2022","81","15","18.5"
"92","Chad","09.2021","197","51","25.9","-","-","-","-"
"“","Turkmenistan","03.2018","116","30","25.9","-","-","-","-"
"94","Benin","01.2023","109","28","25.7","-","-","-","-"
"95","China","03.2018","2975","742","24.9","-","-","-","-"
"96","Morocco","09.2021","395","96","24.3","10.2021","120","14","11.7"
"97","Bulgaria","10.2022","240","58","24.2","-","-","-","-"
"“","Israel","11.2022","120","29","24.2","-","-","-","-"
"99","Kenya","08.2022","348","81","23.3","08.2022","66","21","31.8"
"100","Djibouti","02.2023","65","15","23.1","-","-","-","-"
"“","Ireland","02.2020","160","37","23.1","03.2020","59","23","39"
"102","Seychelles","10.2020","35","8","22.9","-","-","-","-"
"103","Panama","05.2019","71","16","22.5","-","-","-","-"
"104","Lao People's Democratic Republic","02.2021","164","36","22","-","-","-","-"
"“","Slovakia","02.2020","150","33","22","-","-","-","-"
"106","Indonesia","04.2019","575","124","21.6","-","-","-","-"
"107","Greece","07.2019","300","63","21","-","-","-","-"
"108","Bangladesh","12.2018","350","73","20.9","-","-","-","-"
"109","Cambodia","07.2018","125","26","20.8","02.2018","62","10","16.1"
"110","Malawi","05.2019","193","40","20.7","-","-","-","-"
"111","Pakistan","07.2018","342","70","20.5","03.2021","100","19","19"
"112","Ukraine","07.2019","416","85","20.4","-","-","-","-"
"113","Mauritania","09.2018","153","31","20.3","-","-","-","-"
"114","Bahrain","11.2022","40","8","20","11.2022","40","10","25"
"“","Kyrgyzstan","11.2021","90","18","20","-","-","-","-"
"“","Mauritius","11.2019","70","14","20","-","-","-","-"
"117","Saudi Arabia","10.2020","151","30","19.9","-","-","-","-"
"118","Togo","12.2018","91","18","19.8","-","-","-","-"
"119","Somalia","11.2021","274","54","19.7","07.2021","54","14","25.9"
"120","Guatemala","06.2019","160","31","19.4","-","-","-","-"
"121","Bosnia and Herzegovina","10.2022","42","8","19.1","02.2023","15","2","13.3"
"“","Republic of Korea","04.2020","299","57","19.1","-","-","-","-"
"“","Romania","12.2020","330","63","19.1","12.2020","136","25","18.4"
"124","Paraguay","04.2018","80","15","18.8","04.2018","45","6","13.3"
"125","Azerbaijan","02.2020","118","22","18.6","-","-","-","-"
"126","Madagascar","05.2019","151","28","18.5","12.2020","18","2","11.1"
"127","Georgia","10.2020","141","26","18.4","-","-","-","-"
"128","Saint Vincent and the Grenadines","11.2020","22","4","18.2","-","-","-","-"
"129","Bahamas","09.2021","39","7","18","10.2021","16","4","25"
"130","Democratic People's Republic of Korea","03.2019","687","121","17.6","-","-","-","-"
"131","Brazil","10.2022","513","90","17.5","10.2022","81","15","18.5"
"132","Bhutan","10.2018","46","8","17.4","04.2018","25","4","16"
"“","Türkiye","06.2018","580","101","17.4","-","-","-","-"
"134","Mongolia","06.2020","76","13","17.1","-","-","-","-"
"135","Burkina Faso","11.2022","71","12","16.9","-","-","-","-"
"136","Comoros","01.2020","24","4","16.7","-","-","-","-"
"137","Thailand","03.2019","445","74","16.6","05.2019","249","26","10.4"
"138","Libya","06.2014","170","28","16.5","-","-","-","-"
"139","Russian Federation","09.2021","450","74","16.4","-","169","36","21.3"
"140","Tunisia","12.2022","154","25","16.2","-","-","-","-"
"141","Belize","11.2020","32","5","15.6","12.2020","14","6","42.9"
"142","India","04.2019","542","82","15.1","03.2022","239","33","13.8"
"143","Zambia","08.2021","167","25","15","-","-","-","-"
"144","Eswatini","09.2018","74","11","14.9","10.2018","30","12","40"
"145","Gabon","10.2018","143","21","14.7","01.2021","67","16","23.9"
"146","Congo","07.2022","151","22","14.6","08.2017","69","13","18.8"
"“","Ghana","12.2020","275","40","14.6","-","-","-","-"
"“","Sao Tome and Principe","09.2022","55","8","14.6","-","-","-","-"
"149","Cyprus","05.2021","56","8","14.3","-","-","-","-"
"150","Côte d'Ivoire","03.2021","255","35","13.7","03.2018","98","21","21.4"
"“","Guinea-Bissau","03.2019","102","14","13.7","-","-","-","-"
"152","Malaysia","11.2022","222","30","13.5","-","51","10","19.6"
"153","Hungary","04.2022","199","26","13.1","-","-","-","-"
"154","Samoa","04.2021","54","7","13","-","-","-","-"
"“","Sierra Leone","03.2018","146","19","13","-","-","-","-"
"156","Central African Republic","12.2020","140","18","12.9","-","-","-","-"
"157","Democratic Republic of the Congo","12.2018","500","64","12.8","03.2019","109","26","23.9"
"158","Jordan","11.2020","130","16","12.3","10.2022","65","10","15.4"
"159","Botswana","10.2019","63","7","11.1","-","-","-","-"
"“","Saint Lucia","07.2021","18","2","11.1","08.2021","11","5","45.5"
"161","Liberia","10.2017","73","8","11","12.2020","30","2","6.7"
"162","Fiji","12.2022","55","6","10.9","-","-","-","-"
"163","Syrian Arab Republic","07.2020","250","27","10.8","-","-","-","-"
"164","Nauru","09.2022","19","2","10.5","-","-","-","-"
"165","Japan","10.2021","462","46","10","07.2022","248","64","25.8"
"166","Brunei Darussalam","01.2023","34","3","8.800000000000001","-","-","-","-"
"167","Gambia (The)","04.2022","58","5","8.6","-","-","-","-"
"168","Solomon Islands","04.2019","50","4","8","-","-","-","-"
"169","Algeria","06.2021","407","32","7.9","02.2022","170","7","4.1"
"170","Micronesia (Federated States of)","03.2021","14","1","7.1","-","-","-","-"
"“","Tonga","11.2021","28","2","7.1","-","-","-","-"
"172","Kiribati","04.2020","45","3","6.7","-","-","-","-"
"173","Kuwait","09.2022","64","4","6.3","-","-","-","-"
"“","Lebanon","05.2022","128","8","6.3","-","-","-","-"
"“","Palau","11.2020","16","1","6.3","11.2020","13","1","7.7"
"“","Tuvalu","09.2019","16","1","6.3","-","-","-","-"
"177","Marshall Islands","11.2019","33","2","6.1","-","-","-","-"
"178","Antigua and Barbuda","01.2023","18","1","5.6","02.2023","17","7","41.2"
"“","Iran (Islamic Republic of)","02.2020","286","16","5.6","-","-","-","-"
"180","Sri Lanka","08.2020","225","12","5.3","-","-","-","-"
"181","Maldives","04.2019","87","4","4.6","-","-","-","-"
"182","Qatar","10.2021","45","2","4.4","-","-","-","-"
"183","Oman","10.2019","86","2","2.3","11.2019","85","15","17.7"
"184","Vanuatu","10.2022","52","1","1.9","-","-","-","-"
"185","Papua New Guinea","07.2022","115","2","1.7","-","-","-","-"
"186","Yemen","04.2003","245","0","0","04.2001","90","1","1.1"
"","Eritrea","02.1994","-","-","-","-","-","-","-"
"","Haiti","08.2015","-","-","-","11.2016","-","-","-"
"","Nigeria","02.2023","360","-","-","02.2023","109","-","-"
"","Venezuela (Bolivarian Republic of)","12.2015","-","-","-","-","-","-","-"
"Suspended","Afghanistan","-","-","-","-","-","-","-","-"
"Suspended","Myanmar","-","-","-","-","-","-","-","-"
"Suspended","Sudan","-","-","-","-","-","-","-","-"
