,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Girls On Top,BoA,0.741,0.933,1,-1.709,1,0.0439,0.00909,0.757,109.995,218653,4
1,Phone Number,JINUSEAN,0.699,0.792,2,-4.569,1,0.1,0.0515,0.942,176.108,212307,4
2,Rising Sun,TVXQ!,0.614,0.953,2,-1.921,0,0.0517,0.00783,0.669,124.968,282067,4
3,Fly (feat. Amin. J),"Epik High, Amin. J",0.707,0.96,11,-2.579,0,0.0546,0.0613,0.915,128.037,201227,4
4,지지 않는 태양,Woo Hyuk Jang,0.84,0.961,11,-1.243,0,0.053,0.0298,0.586,105.005,215171,4
5,Good-bye Luv,Realslow,0.624,0.82,7,-3.583,1,0.0678,0.258,0.379,89.017,198893,4
6,내가 웃는게 아니야,"Leessang, ALI",0.68,0.76,0,-4.149,0,0.0571,0.338,0.826,84.293,252587,4
7,보통날 An Ordinary,god,0.779,0.496,1,-6.942,0,0.119,0.22,0.362,127.985,212547,4
8,귀로,Naul,0.521,0.558,7,-6.309,0,0.0315,0.467,0.0584,107.94,266507,3
9,살다가,SG Wannabe,0.41,0.435,3,-5.76,0,0.0349,0.571,0.17,129.368,283787,4
10,Mr. Flower,Jo Sung Mo,0.364,0.45,3,-8.107,1,0.0362,0.722,0.187,127.558,285387,4
11,눈의 꽃,Park Hyo Shin,0.424,0.368,7,-7.508,1,0.0284,0.714,0.236,71.943,339837,4
12,Ga Sm A PA Do,Hwanhee,0.386,0.405,0,-7.076,1,0.0296,0.443,0.236,67.113,268200,4
13,환희,PSY,0.834,0.847,10,-2.287,0,0.0694,0.105,0.927,120.025,204440,4
14,그녀에게,Un,0.432,0.626,5,-4.058,1,0.0283,0.513,0.354,159.99,242848,4
15,"I Love U, Oh Thank U - Ivy Mix Version","MC MONG, Kim Tae Woo",0.694,0.839,1,-4.628,1,0.0812,0.0709,0.582,89.996,179566,4
16,Bye Bye Bye,Monday Kiz,0.556,0.738,11,-4.349,0,0.0439,0.295,0.573,94.941,210704,4
17,사랑과 우정사이,SG Wannabe,0.515,0.498,8,-7.613,1,0.0443,0.783,0.258,69.771,237035,4
18,체념 後(후),BIG MAMA,0.617,0.614,8,-4.051,1,0.0333,0.213,0.247,135.798,250640,4
19,When flowering spring comes,BMK,0.58,0.55,8,-5.035,1,0.0284,0.609,0.352,127.917,284107,4
20,Smile Again,KCM,0.659,0.676,10,-4.139,1,0.0272,0.515,0.326,110.019,208145,4
21,너에게로 또다시,Seo Young Eun,0.395,0.546,6,-5.657,0,0.0318,0.378,0.206,71.78,259030,4
22,This way,Flower,0.405,0.557,1,-5.149,1,0.0284,0.522,0.253,143.951,263758,4
23,잘 지내나요,Sung Si Kyung,0.435,0.31,0,-8.311,1,0.0334,0.687,0.197,140.163,281600,4
24,혼자만 하는 사랑,Gummy,0.387,0.665,9,-4.84,1,0.102,0.225,0.203,65.356,265013,4
25,안부 (Duet. 나윤권),BYUL,0.627,0.425,5,-6.581,1,0.0367,0.607,0.141,129.916,239933,4
26,천하무적 : Originally Performed By MC몽 Karaoke Verison,코케,0.755,0.247,9,-14.786,0,0.0306,0.293,0.787,98.991,219417,4
27,사랑은 하나다,가수연합,0.559,0.488,9,-7.699,1,0.0283,0.415,0.154,130.074,270707,4
28,Same Thought - Live Version,Shin Hye Sung,0.468,0.389,2,-8.377,1,0.0336,0.842,0.162,133.82,299773,4
