,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,아낌없이 주는 나무 : Originally Performed By 문희준 Karaoke Verison,코케,0.438,0.456,9,-14.843,0,0.0411,0.3,0.234,84.984,220778,4
1,No.1,BoA,0.727,0.84,8,-4.293,1,0.0964,0.114,0.807,102.993,193227,4
2,Perfect Man,SHINHWA,0.751,0.912,5,-1.822,0,0.0391,0.0247,0.804,108.002,205000,4
3,나쁜 남자 Bad Man,Rain,0.849,0.855,10,-4.494,0,0.187,0.13,0.716,93.706,217533,4
4,Sea Of Love,FLY TO THE SKY,0.643,0.891,11,-2.757,1,0.1,0.0732,0.541,110.044,255892,4
5,A Better Day,JTL,0.722,0.655,8,-2.714,0,0.068,0.0683,0.739,81.022,246893,4
6,Miracle,Un,0.656,0.532,11,-6.367,1,0.0529,0.456,0.46,124.039,279928,4
7,U,S.E.S.,0.77,0.87,11,-5.368,0,0.123,0.257,0.55,100.974,204893,4
8,I'm my fan,JAURIM,0.342,0.78,7,-5.232,1,0.0421,0.0363,0.354,185.619,277227,4
9,난 사랑에 빠졌죠,Park Ji Yoon,0.775,0.758,5,-5.463,1,0.0429,0.188,0.705,138.003,232200,4
10,대화가 필요해,The Jadu,0.74,0.555,9,-5.989,1,0.251,0.354,0.617,79.977,240440,4
11,Lalala,Lee Soo Young,0.502,0.49,11,-6.264,1,0.0289,0.293,0.375,79.961,273502,4
12,안되나요,Realslow,0.566,0.443,1,-8.09,1,0.047,0.351,0.184,137.934,270240,4
13,Seulpun honjatmal,Lim Changjung,0.487,0.404,9,-7.224,1,0.026,0.437,0.244,79.886,260480,4
14,부탁해요,WAX,0.654,0.325,2,-8.102,1,0.029,0.754,0.236,131.696,233520,4
15,좋은사람,Park Hyo Shin,0.323,0.407,8,-7.455,1,0.0294,0.823,0.0999,137.143,236460,4
16,In dreams,Lena Park,0.381,0.526,10,-6.938,1,0.0429,0.632,0.311,136.169,337067,4
17,Sweet Dream,Jang Na-ra,0.717,0.603,7,-5.457,1,0.027,0.204,0.749,96.012,236536,4
18,VALENTI,BoA,0.733,0.953,1,-2.579,1,0.088,0.08,0.923,104.03,212960,4
19,우연,Baby VOX,0.786,0.891,2,-3.902,1,0.0597,0.024,0.722,126.857,238005,4
20,Champion,PSY,0.481,0.89,1,-2.686,1,0.151,0.0524,0.687,180.123,266507,4
21,우린 제법 잘 어울려요,Sung Si Kyung,0.637,0.847,6,-6.37,0,0.0456,0.432,0.884,173.969,214000,4
22,출국,Harim,0.658,0.459,4,-7.194,0,0.0284,0.387,0.326,121.928,274867,4
23,붙잡고도 Even I Grab You,Noel,0.683,0.378,8,-6.57,1,0.0403,0.645,0.425,81.004,216533,4
24,사랑해도 헤어질수 있다면...,Shin Seung Hun,0.421,0.322,6,-9.1,0,0.0306,0.877,0.0845,79.314,277629,4
25,Memories,KANGTA,0.423,0.413,2,-7.27,1,0.039,0.511,0.216,144.011,300760,3
26,12월 32일 December 32 days,BYUL,0.561,0.255,8,-9.311,1,0.0394,0.84,0.175,139.655,263004,4
27,Foolish love,JK Kim Dong Uk,0.663,0.428,0,-8.633,0,0.0263,0.689,0.457,88.017,261467,4
28,처음부터지금까지 From Beguinning[Kbs Drama Winter Sonata],"S.H Project, O Suk Jun",0.612,0.325,9,-11.533,0,0.0294,0.738,0.223,100.065,268413,4
29,마지막 약속 : Originally Performed By 포지션 Karaoke Verison,코케,0.505,0.246,2,-14.763,1,0.0326,0.0615,0.0812,135.996,286296,4
