,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Growl,EXO,0.681,0.814,11,-2.83,0,0.0603,0.145,0.876,89.993,207053,4
1,What's your name?,4Minute,0.738,0.889,11,-3.019,0,0.073,0.185,0.914,115.041,186776,4
2,CROOKED,G-DRAGON,0.665,0.919,2,-3.211,1,0.0922,0.00191,0.782,129.962,224793,4
3,Dream Girl,SHINee,0.724,0.939,11,-0.698,0,0.0736,0.0429,0.732,124.063,180165,4
4,I GOT A BOY,Girls' Generation,0.502,0.863,4,-1.273,0,0.272,0.0342,0.527,97.911,271326,4
5,첫 사랑니 (Rum Pum Pum Pum),f(x),0.774,0.819,11,-2.976,1,0.0383,0.509,0.543,119.984,197672,4
6,Johnny,"Primary, Dynamicduo",0.737,0.605,1,-4.557,1,0.151,0.269,0.802,99.905,234292,4
7,BAAAM,"Dynamicduo, Muzie",0.61,0.8,7,-5.544,1,0.212,0.0443,0.682,99.193,220880,4
8,All Right,Lim Kim,0.756,0.888,1,-6.375,1,0.0387,0.337,0.948,125.887,208620,4
9,Rose,LeeHi,0.756,0.675,2,-6.619,1,0.0374,0.0446,0.401,124.977,222288,4
10,Crescendo,AKMU,0.77,0.731,6,-6.249,1,0.0645,0.0615,0.275,131.932,166257,4
11,My Love,Lee Seung Chul,0.452,0.372,9,-7.657,1,0.027,0.781,0.554,147.921,231834,4
12,"Love, At First",Busker Busker,0.522,0.526,2,-6.907,1,0.0375,0.333,0.345,161.903,242110,4
13,Bom Bom Bom,Roy Kim,0.636,0.719,4,-5.986,1,0.0267,0.392,0.603,94.993,208467,4
14,Bounce,Cho Yong Pil,0.811,0.641,0,-3.159,1,0.0369,0.269,0.827,125.003,183988,4
15,With Laughter or With Tears,Seo In Guk,0.614,0.486,7,-5.961,1,0.0445,0.733,0.222,66.038,194650,4
16,거북이,DAVICHI,0.7,0.719,10,-6.707,1,0.0402,0.323,0.502,117.994,225093,4
17,어느 봄날 One Spring Day,2AM,0.581,0.462,4,-6.329,1,0.0283,0.451,0.359,133.995,234095,4
18,청혼하는 거예요,4MEN,0.478,0.55,9,-6.645,1,0.0383,0.572,0.271,126.002,249457,4
19,If It Ain't Love (feat. Ailee),"Verbal Jint, AILEE",0.697,0.893,4,-4.318,1,0.23,0.278,0.558,81.985,220500,4
20,JOAH - Remastered,"Jay Park, Remastered",0.52,0.9,11,-4.193,1,0.263,0.38,0.721,171.954,230088,4
21,You Can Stay,"Supreme Team, Crush",0.604,0.855,11,-4.211,0,0.264,0.348,0.692,94.79,225695,4
22,Miss Korea,Lee Hyori,0.735,0.593,7,-5.375,0,0.0364,0.558,0.697,127.045,235625,4
23,24시간이 모자라,SUNMI,0.739,0.782,1,-3.964,1,0.103,0.00549,0.604,125.94,201590,4
24,Hush,miss A,0.769,0.807,5,-3.453,0,0.0494,0.275,0.673,125.999,186800,4
25,기대해,Girl's Day,0.72,0.949,0,-1.242,1,0.0925,0.136,0.822,126.969,196813,4
26,VOODOO DOLL,VIXX,0.567,0.952,4,-1.553,0,0.103,0.145,0.509,128.985,216226,4
27,YooHoo,Secret,0.757,0.892,2,-2.414,1,0.0671,0.109,0.902,151.07,204696,4
28,How are you (feat.Harim),Geeks,0.757,0.787,10,-4.834,0,0.0503,0.125,0.893,97.992,226743,4
