,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,I Need a Girl,"TAEYANG, G-DRAGON",0.706,0.553,11,-6.748,1,0.0531,0.44,0.512,115.044,220133,4
1,Hurricane Venus,BoA,0.734,0.828,9,-1.692,0,0.0885,0.0399,0.694,112.02,190400,4
2,Go Away,2NE1,0.73,0.797,11,-2.135,1,0.0394,0.0536,0.575,127.985,219453,4
3,LUCIFER,SHINee,0.75,0.914,11,-1.819,0,0.0518,0.0323,0.866,125.034,233987,4
4,Right Now,PSY,0.71,0.835,10,-2.502,0,0.0366,0.0022,0.483,124.996,203827,4
5,미인아 Bonamana,SUPER JUNIOR,0.79,0.911,11,-1.756,0,0.074,0.000444,0.876,125.012,239187,4
6,NU ABO,f(x),0.703,0.773,10,-3.529,0,0.0629,0.0186,0.392,95.007,224333,4
7,너 때문에 미쳐,T-ARA,0.709,0.639,10,-7.063,0,0.0399,0.00244,0.439,135.013,194587,4
8,2 Different Tears,Wonder Girls,0.796,0.697,8,-6.363,0,0.0402,0.0969,0.745,124.025,204080,4
9,Bad Girl Good Girl,miss A,0.793,0.805,10,-4.224,1,0.0438,0.1,0.507,135.987,217560,4
10,시간아 멈춰라,DAVICHI,0.384,0.921,10,-3.015,1,0.118,0.0377,0.307,142.643,204827,4
11,죽어도 못 보내,2AM,0.567,0.776,2,-3.102,1,0.0323,0.21,0.54,136.831,195906,4
12,Run,Epik High,0.605,0.928,9,-5.056,1,0.0717,0.0699,0.563,79.983,210387,4
13,Propose 고백,Hot Potato,0.705,0.55,9,-5.259,1,0.0288,0.334,0.34,115.988,233613,4
14,Love U,Seo In Guk,0.725,0.815,11,-4.146,0,0.0352,0.105,0.618,147.983,198680,4
15,Oh!,Girls' Generation,0.759,0.966,2,-2.207,0,0.0416,0.0218,0.44,143.987,188533,4
16,Magic,Secret,0.777,0.895,1,-3.915,1,0.0439,0.0112,0.61,107.031,203599,4
17,Better Together,SE7EN,0.782,0.813,8,-3.788,1,0.0384,0.00971,0.789,119.999,218120,4
18,Y,MBLAQ,0.955,0.793,10,-4.828,0,0.142,0.0298,0.875,122.952,208523,4
19,진짜일 리 없어 It Can’t Be Real,Lim Jung Hee,0.577,0.841,1,-3.23,1,0.218,0.564,0.304,143.758,193240,4
20,I'll Be Back,2PM,0.802,0.903,5,-5.071,0,0.0508,0.00793,0.664,130.003,214479,4
21,Love You Forever,Gummy,0.422,0.524,10,-8.244,1,0.0409,0.675,0.205,135.81,259587,4
22,The woman,Baek Ji Young,0.611,0.446,6,-6.753,1,0.0407,0.776,0.184,139.846,273996,4
23,If It's the Same,BROWN EYED SOUL,0.657,0.48,8,-6.486,1,0.0467,0.575,0.495,77.006,263760,4
24,본능적으로,Yoon Jong Shin,0.65,0.866,10,-4.197,0,0.0421,0.592,0.585,99.985,191293,4
25,결혼까지 생각했어,Various Artists,0.624,0.725,5,-6.808,1,0.0299,0.28,0.461,93.023,212520,4
26,죽을 만큼 아파서 : Originally Performed By MC몽 Karaoke Verison,코케,0.543,0.609,7,-14.156,0,0.0286,0.509,0.313,120.014,265826,4
27,언제나,발라드싱어,0.353,0.775,11,-3.292,1,0.0367,0.101,0.456,157.259,230087,4
28,Chitty Chitty Bang Bang,Various Artists,0.688,0.885,6,-7.73,1,0.272,0.0158,0.676,176.149,203456,4
