,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,I′m Coming (Feat. Tablo),Rain,0.855,0.588,6,-8.443,1,0.052,0.012,0.439,125.486,223893,4
1,O -正.反.合.,TVXQ!,0.741,0.815,0,-2.259,1,0.0566,0.0142,0.742,115.039,255587,4
2,U,SUPER JUNIOR,0.791,0.871,6,-3.769,0,0.132,0.169,0.805,115.025,226747,4
3,I Know (Feat. Teddy),"SE7EN, TEDDY",0.779,0.815,7,-4.488,1,0.0677,0.00325,0.744,114.966,205467,4
4,Once In A Lifetime,SHINHWA,0.49,0.674,1,-4.564,1,0.0463,0.33,0.26,74.904,287933,4
5,The man and the woman,VIBE,0.529,0.32,8,-8.552,0,0.0358,0.323,0.151,127.661,272875,4
6,날 위한 이별,Lyn,0.331,0.396,1,-8.525,1,0.0402,0.32,0.167,129.705,278401,4
7,연,BIG MAMA,0.488,0.618,11,-7.587,0,0.0427,0.385,0.335,131.663,295133,4
8,Partner for Life,SG Wannabe,0.559,0.828,2,-3.831,1,0.0367,0.0588,0.45,110.025,298237,4
9,태양의 눈물,KCM,0.641,0.377,6,-15.733,1,0.0356,0.451,0.421,110.96,253320,4
10,Goodbye day,Eve,0.335,0.352,1,-7.896,1,0.0341,0.376,0.348,70.673,351547,3
11,웃는 거야,Seo Young Eun,0.709,0.556,8,-5.013,1,0.0328,0.656,0.449,120.155,244114,4
12,거리에서,Sung Si Kyung,0.581,0.482,7,-7.765,1,0.0294,0.645,0.307,131.82,279267,4
13,전부 너였다 Everything was You,Noel,0.531,0.438,3,-6.565,1,0.0324,0.475,0.152,131.88,260333,4
14,If You Comeback,Gummy,0.476,0.487,6,-4.519,1,0.0361,0.32,0.123,135.555,288693,4
15,Perhaps Love,"HoWL, J",0.464,0.702,8,-7.328,1,0.0558,0.397,0.437,165.491,275342,4
16,좋아 좋아,Seo Young Eun,0.754,0.748,7,-4.38,1,0.0296,0.708,0.524,106.903,193228,4
17,La La La,SE7EN,0.793,0.478,8,-5.956,1,0.0386,0.0327,0.82,129.983,271867,4
18,면도,V-One,0.568,0.654,0,-5.449,1,0.0334,0.163,0.383,139.869,245133,4
19,"사랑아 가지마 / My Love, Don't Leave",Lim Jung Hee,0.4,0.723,9,-5.242,0,0.0826,0.25,0.349,81.376,204130,4
20,들리나요,정재욱,0.603,0.764,9,-5.872,0,0.0502,0.196,0.528,114.897,239830,4
21,마주치지 말자,Jang Hye Jin,0.539,0.664,1,-5.923,0,0.061,0.502,0.114,114.963,236400,4
22,사랑 먼지,Bubble Sisters,0.35,0.41,1,-6.381,0,0.0282,0.563,0.161,133.223,251742,4
23,남자답게,Fly to the Sky,0.375,0.623,5,-4.984,0,0.0371,0.455,0.225,58.355,230973,4
24,여인의 향기,Various Artists,0.646,0.581,5,-4.913,0,0.0275,0.474,0.371,110.945,220279,4
25,그리움을 외치다,발라드가수들,0.571,0.54,0,-11.155,1,0.0319,0.156,0.369,70.999,245238,4
26,이따 이따요,가수연맹,0.654,0.824,2,-4.664,0,0.0694,0.134,0.48,135.0,206393,4
27,철수야 사랑해,이정현,0.932,0.798,2,-0.514,1,0.0442,0.0151,0.963,135.007,195480,4
28,Maybe I Love You,"Girl Friends, 빅톤",0.654,0.821,5,-3.977,0,0.0297,0.194,0.844,95.964,216140,4
29,사랑이 오지 않아요 (Love Doesn't Come) [In the Style of Jun Jin] - Karaoke,Groove Edition,0.592,0.409,9,-8.689,1,0.0282,0.804,0.175,130.009,262975,4
