,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Just In Love,S.E.S.,0.65,0.899,7,-3.216,1,0.0467,0.288,0.556,94.972,290707,4
1,벌써 일년,Brown Eyes,0.72,0.73,8,-4.205,1,0.0237,0.19,0.55,104.017,207827,4
2,아름다운 날들,Jang Hyejin,0.466,0.676,6,-4.232,1,0.0329,0.277,0.14,137.945,248764,4
3,"I say ""I love you"" again",Kim Dong Ryul,0.566,0.51,2,-8.945,1,0.0302,0.169,0.255,139.862,287742,4
4,I Believe,Shin Seung Hun,0.526,0.195,7,-11.181,1,0.0298,0.869,0.112,130.21,284186,4
5,고백,Jang Na-ra,0.383,0.41,6,-6.513,1,0.0307,0.406,0.111,137.356,281652,4
6,I LOVE YOU,Position,0.397,0.391,10,-8.483,1,0.0305,0.555,0.187,139.956,329953,4
7,화장을 고치고,WAX,0.471,0.371,8,-6.775,1,0.0338,0.734,0.215,134.728,250387,4
8,항상 엔진을 켜둘께,DELISPICE,0.426,0.837,6,-4.421,1,0.0317,0.00196,0.593,143.037,198478,4
9,밤이 깊었네 Oh! What a Shiny Night,Crying Nut,0.719,0.613,9,-5.28,1,0.0475,0.194,0.301,115.169,248373,4
10,Zzanga,Kim Gun Mo,0.864,0.791,9,-5.844,0,0.0527,0.283,0.913,107.974,192293,4
11,새,PSY,0.854,0.933,2,-4.341,1,0.109,0.043,0.882,119.878,193280,4
12,"Hey, Come On!",SHINHWA,0.794,0.925,9,-4.842,0,0.121,0.0361,0.787,103.025,208440,4
13,A-Yo,JINUSEAN,0.86,0.852,6,-3.646,0,0.135,0.0881,0.934,93.002,225947,4
14,Good Life,Drunken Tiger,0.762,0.885,9,-3.067,0,0.14,0.237,0.509,97.988,187260,4
15,눈물에 얼굴을 묻는다 String Version,Jang Na-ra,0.686,0.8,4,-5.413,0,0.0358,0.0565,0.554,95.027,241450,4
16,Endless,플라워,0.45,0.594,0,-5.458,1,0.028,0.244,0.282,73.826,255556,4
17,Polaris,KANGTA,0.456,0.488,11,-8.509,1,0.0328,0.206,0.234,135.967,243160,4
18,Never Again,Lee Soo Young,0.464,0.591,9,-6.205,0,0.031,0.387,0.171,135.946,359314,4
19,선물,Un,0.45,0.519,11,-5.38,1,0.0287,0.5,0.106,139.968,265117,4
20,제발,Lee So Ra,0.341,0.238,6,-12.345,0,0.0371,0.839,0.0687,117.255,258873,4
21,Sweety : Originally Performed By 샵 Karaoke Verison,코케,0.584,0.656,5,-12.854,1,0.0296,0.0898,0.905,125.01,201819,4
22,시간이 흐른뒤 (As Time Goes By) [In the Style of Yoon Mi Rae[T]] - Karaoke,Groove Edition,0.712,0.23,8,-9.014,0,0.0629,0.00408,0.447,131.962,268617,4
23,끝 : Originally Performed By 샤크라 Karaoke Verison,코케,0.608,0.701,3,-12.229,0,0.0284,0.00503,0.892,145.013,218674,4
24,추락 : Originally Performed By 백지영 Karaoke Verison,코케,0.711,0.749,2,-12.691,0,0.0307,0.245,0.956,127.125,236887,4
25,찾길바래 : Originally Performed By 유승준 Karaoke Verison,코케,0.604,0.705,7,-12.308,1,0.0312,0.0659,0.745,120.999,223987,4
26,시간이 흐른뒤,Various Artists,0.701,0.416,7,-9.614,1,0.0542,0.633,0.251,131.818,266987,4
27,내 입술 따뜻한 커피처럼,Lee Ji Hye,0.756,0.559,6,-10.09,0,0.0766,0.178,0.544,90.006,267880,4
28,Magic,Chae Jungahn,0.719,0.972,8,-3.244,1,0.0498,0.0543,0.944,140.004,228667,4
29,사랑하니까 : Originally Performed By 문차일드 Karaoke Verison,코케,0.487,0.247,9,-18.166,0,0.03,0.439,0.112,144.0,343909,4
