,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Haru Haru,BIGBANG,0.687,0.914,6,-5.02,1,0.0437,0.166,0.675,126.001,256360,4
1,MIROTIC,TVXQ!,0.722,0.784,1,-2.411,0,0.0408,0.049,0.705,99.985,208467,4
2,So Hot,Wonder Girls,0.879,0.695,1,-5.87,0,0.0521,0.0192,0.963,139.985,181328,4
3,Pretty Girl,KARA,0.735,0.93,5,-2.816,1,0.0743,0.00945,0.661,133.957,209920,4
4,Last Farewell,BIGBANG,0.703,0.934,6,-2.92,0,0.167,0.0462,0.821,135.02,231800,4
5,Farewell Under the Sun,"J.Y. Park, SunYe",0.522,0.585,7,-6.379,1,0.0397,0.738,0.0957,139.571,271907,4
6,Kissing You,Girls' Generation,0.75,0.817,8,-2.541,1,0.0361,0.639,0.762,117.991,199240,4
7,Replay,SHINee,0.724,0.792,1,-2.219,1,0.084,0.149,0.58,100.009,216453,4
8,One (feat. 지선),"Epik High, 지선",0.742,0.783,1,-4.294,1,0.0368,0.0765,0.594,135.02,230320,4
9,Only Look At Me,TAEYANG,0.704,0.681,2,-5.199,1,0.0333,0.258,0.888,140.07,240920,4
10,Flowerpot,Alex,0.559,0.399,11,-9.215,1,0.0252,0.0488,0.229,140.002,261799,4
11,들리나요…,TAEYEON,0.428,0.464,10,-6.431,1,0.033,0.797,0.163,133.459,242227,4
12,D.I.S.C.O (Feat. T.O.P),"Uhm Jung Hwa, T.O.P.",0.823,0.879,4,-4.058,0,0.0511,0.17,0.947,122.95,205160,4
13,Nobody,Wonder Girls,0.882,0.786,3,-7.383,0,0.075,0.102,0.95,130.978,212533,4
14,Sunset Glow,BIGBANG,0.756,0.87,8,-2.27,1,0.0543,0.0896,0.618,124.983,204920,4
15,가슴으로 외쳐,"Monday Kiz, Rhymer",0.528,0.849,11,-2.759,0,0.0379,0.388,0.683,90.064,218867,4
16,1분 1초 (feat. 타루),"Epik High, Taru",0.713,0.802,4,-6.162,0,0.151,0.282,0.34,77.481,268133,4
17,슬픈 다짐,DAVICHI,0.685,0.723,7,-4.724,0,0.0604,0.269,0.843,119.932,215467,4
18,I'm Sorry (Feat. T.O.P),"Gummy, T.O.P.",0.751,0.675,5,-8.33,1,0.0482,0.0407,0.685,125.029,236560,4
19,사랑과 전쟁 하하 Narration,DAVICHI,0.65,0.857,1,-5.382,0,0.0573,0.0629,0.837,131.953,259373,4
20,There is no regret,Noblesse,0.643,0.867,7,-5.973,1,0.354,0.128,0.474,170.212,260078,4
21,이노래,2AM,0.679,0.333,8,-9.372,1,0.0415,0.814,0.141,133.747,244520,4
22,U Go Girl,Various Artists,0.815,0.78,1,-6.9,1,0.0906,0.0885,0.891,100.981,188723,4
23,Time Walking on Memories,NELL,0.399,0.331,10,-9.221,1,0.0478,0.858,0.193,171.208,389853,4
24,가지마 가지마 (안녕? 난 건이라고해~ 독수리 건),안녕? 난 건이라고해~ 독수리 건,0.219,0.513,0,-5.697,1,0.0306,0.697,0.155,62.395,296713,4
25,Hey Mr. Big : Originally Performed By 이효리 Karaoke Verison,코케,0.606,0.667,1,-14.696,0,0.0327,0.391,0.712,142.061,191344,4
26,슬픈발걸음 (구두2) [Sad Steps] [In the Style of Seeya] - Karaoke,Groove Edition,0.491,0.342,11,-6.961,0,0.0297,0.272,0.0607,140.014,275383,4
27,라라라,발라드가수들,0.347,0.835,0,-3.821,1,0.0894,0.144,0.53,198.071,274625,4
28,보고싶은 날엔,Various Artists,0.754,0.615,11,-7.686,0,0.047,0.494,0.45,113.029,207557,4
