,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Hug,TVXQ!,0.758,0.811,0,-3.881,0,0.0414,0.244,0.74,109.97,229560,4
1,Brand New,SHINHWA,0.679,0.945,8,-2.608,0,0.0712,0.0209,0.8,103.003,227840,4
2,It′s Raining,Rain,0.783,0.875,1,-4.486,1,0.0663,0.0172,0.385,103.953,220760,4
3,Passion,SE7EN,0.743,0.747,5,-5.64,1,0.0374,0.031,0.691,101.01,201067,4
4,My Name,BoA,0.866,0.815,7,-4.727,1,0.073,0.0996,0.813,109.997,193027,4
5,Hot,1TYM,0.884,0.61,7,-5.45,1,0.0881,0.155,0.954,97.995,218333,4
6,평화의 날,Epik High,0.777,0.921,11,-4.182,0,0.0613,0.0363,0.942,125.03,218600,4
7,Crazy,SHINHWA,0.662,0.553,7,-4.403,0,0.0539,0.389,0.458,92.984,222173,4
8,The Way U Are,TVXQ!,0.817,0.923,8,-3.87,0,0.121,0.0353,0.898,108.03,208133,4
9,불치병 (Feat.Masta Wu),"Realslow, MASTA WU",0.673,0.802,8,-5.219,0,0.107,0.385,0.806,94.017,222400,4
10,휠릴리,Lee Soo Young,0.37,0.778,5,-2.347,0,0.054,0.0399,0.482,180.004,260493,3
11,Last Pray,Jang Na-ra,0.261,0.411,8,-6.13,1,0.0396,0.7,0.16,167.194,278312,4
12,당신과의 키스를 세어보아요,Park Hwayobi,0.482,0.726,9,-4.728,1,0.0382,0.292,0.137,129.828,291213,4
13,Memory Loss,Gummy,0.411,0.574,10,-5.662,0,0.0978,0.384,0.323,199.903,234640,3
14,사랑이 다른 사랑으로 잊혀지네,Harim,0.445,0.257,4,-10.77,1,0.0305,0.444,0.437,180.732,289000,4
15,내가 당신을 사랑하는 이유,WAX,0.651,0.313,11,-8.358,1,0.0315,0.694,0.19,149.975,242227,3
16,광화문 연가,Lee Soo Young,0.243,0.226,0,-10.296,0,0.0315,0.925,0.168,178.921,267259,4
17,해바라기 (그녀에게...),박상민 Park Sang Min,0.469,0.458,0,-8.147,1,0.0301,0.52,0.258,135.681,251665,4
18,흑백사진,KCM,0.473,0.585,6,-5.781,1,0.0315,0.686,0.251,127.751,234840,4
19,제주도의 푸른 밤,Sung Si Kyung,0.755,0.43,5,-14.347,1,0.034,0.756,0.575,105.984,236002,4
20,Sweety,Clazziquai,0.741,0.71,5,-7.621,0,0.032,0.251,0.908,109.99,229564,4
21,Song of Ha Ha Ha,JAURIM,0.614,0.796,7,-5.881,1,0.0604,0.0367,0.631,152.025,194707,4
22,물어본다 I Ask,LEE SEUNG HWAN,0.659,0.731,5,-6.15,0,0.0423,0.0697,0.648,99.993,273253,4
23,순간을 믿어요 Believe in the moment,Sister's Barbershop,0.567,0.843,7,-3.851,1,0.0283,0.0773,0.736,111.013,253440,4
24,Nocturne,Kim Yun A,0.449,0.274,5,-10.464,0,0.0305,0.929,0.238,105.736,253653,4
25,Gentle Rain,Clazziquai,0.504,0.684,0,-9.771,1,0.0386,0.239,0.655,84.903,233326,4
26,"친구여 (나왔다고 전해라 백세인생, 아임 파인 땡큐)","Youngji, 김기리",0.58,0.855,7,-4.236,1,0.136,0.416,0.537,125.14,262220,4
27,180˚ : Originally Performed By MC몽 Karaoke Verison,코케,0.834,0.64,7,-16.134,1,0.0378,0.282,0.979,99.984,238472,4
28,사랑은 향기를 남기고,Various Artists,0.651,0.626,5,-4.466,0,0.0307,0.405,0.353,128.985,258026,4
