,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,사랑의 인사,발라드가수들,0.512,0.659,8,-5.381,1,0.0406,0.467,0.173,100.994,270106,4
1,Tell me (Sampling From `Two Of Hearts`),Wonder Girls,0.792,0.924,6,-6.866,0,0.0327,0.104,0.968,127.003,217000,4
2,Into the New World,Girls' Generation,0.708,0.892,4,-1.964,0,0.0349,0.0706,0.623,108.031,265760,4
3,Lies,BIGBANG,0.781,0.849,6,-5.644,1,0.0568,0.159,0.665,124.986,229120,4
4,Maria,Kim Ah Joong,0.637,0.733,11,-3.748,1,0.0357,0.00226,0.657,80.056,187687,4
5,arirang,SG Wannabe,0.609,0.717,1,-5.539,1,0.04,0.271,0.442,105.02,290480,3
6,사랑..그게 뭔데,Yangpa,0.448,0.527,1,-4.718,1,0.0325,0.768,0.294,135.603,238393,4
7,배반,BIG MAMA,0.503,0.553,6,-6.089,0,0.0375,0.599,0.131,135.739,205740,4
8,The House You Live,J.Y. Park,0.787,0.587,1,-5.593,0,0.0368,0.127,0.844,93.987,227387,4
9,Ballerino,Leessang,0.685,0.779,7,-4.467,0,0.0536,0.217,0.717,95.026,267320,4
10,Fan,Epik High,0.627,0.845,11,-3.397,0,0.104,0.0596,0.78,166.013,224480,4
11,돈 돈! Don't Don,SUPER JUNIOR,0.689,0.928,2,-1.273,1,0.0774,0.00464,0.65,105.084,252027,4
12,Dirty Cash,BIGBANG,0.856,0.924,11,-2.375,0,0.119,0.0701,0.948,129.917,194280,4
13,Into the New World,Girls' Generation,0.699,0.908,7,-2.108,1,0.0334,0.0531,0.6,108.023,267320,4
14,사랑은 맛있다,Realslow,0.85,0.822,7,-4.668,1,0.0988,0.106,0.767,111.998,233091,4
15,비밀번호 486,Younha,0.622,0.882,9,-2.886,1,0.105,0.0867,0.726,136.926,228153,4
16,Will You Come to Me Again?,Rumble Fish,0.663,0.621,10,-8.087,1,0.0421,0.475,0.261,114.057,215347,4
17,가거라 사랑아,Seo Moon Tak,0.472,0.63,8,-4.616,0,0.0275,0.00133,0.42,75.019,274893,4
18,이럴거면,IVY,0.46,0.514,7,-5.45,1,0.0373,0.712,0.232,135.183,233430,4
19,남자야,Monday Kiz,0.388,0.611,10,-5.111,0,0.0357,0.59,0.182,133.995,248816,4
20,A Goose's Dream (MR),Insooni,0.607,0.311,4,-11.876,1,0.0283,0.194,0.171,136.01,343612,4
21,물들어,BMK,0.352,0.383,2,-7.601,1,0.0356,0.718,0.0818,132.392,253936,4
22,바보처럼,Bubble Sisters,0.502,0.451,7,-6.784,1,0.0283,0.625,0.194,125.802,251181,4
23,비행소녀 : Originally Performed By 마골피 Karaoke Verison,코케,0.598,0.433,4,-16.759,1,0.0311,0.199,0.404,125.01,268083,4
24,통증,발라드가수들,0.612,0.734,10,-6.197,0,0.0855,0.495,0.383,95.896,229094,4
25,봄이여 오라 : Originally Performed By MC 스나이퍼 Karaoke Verison,코케,0.451,0.393,1,-17.205,1,0.0303,0.00984,0.717,83.991,225466,4
26,뜨거운 안녕,Various Artists,0.631,0.71,3,-6.359,0,0.03,0.0347,0.529,126.925,284305,4
27,같은 베개,가수연합,0.378,0.554,2,-5.318,1,0.0334,0.372,0.151,163.896,263497,4
