,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Gangnam Style (강남스타일),PSY,0.727,0.937,11,-2.871,0,0.286,0.00417,0.749,132.067,219493,4
1,Fantastic Baby,BIGBANG,0.725,0.841,2,-3.924,1,0.0545,0.002,0.582,130.013,230573,4
2,Like this,Wonder Girls,0.702,0.864,1,-4.24,1,0.309,0.0106,0.734,194.083,192738,4
3,Crayon,G-DRAGON,0.718,0.934,11,-3.787,0,0.169,0.046,0.308,132.017,196920,4
4,Sherlock (Clue + Note),SHINee,0.64,0.937,1,-2.112,1,0.0839,0.0069,0.316,107.013,239187,4
5,History,EXO-K,0.753,0.808,1,-3.264,1,0.0812,0.000252,0.603,110.856,209801,4
6,Electric Shock,f(x),0.757,0.898,5,-1.632,0,0.0327,0.0927,0.537,125.029,196947,4
7,Catch Me,TVXQ!,0.691,0.864,6,-1.53,0,0.0786,0.00555,0.487,127.98,278616,4
8,"Sexy, Free & Single",SUPER JUNIOR,0.75,0.919,1,-3.323,1,0.0327,0.000984,0.718,114.944,223882,4
9,Venus,SHINHWA,0.712,0.881,6,-5.362,1,0.036,0.0784,0.821,125.989,217171,4
10,She`s Gone,December,0.644,0.852,1,-3.188,0,0.0339,0.0236,0.795,100.005,233222,4
11,I LOVE YOU,2NE1,0.711,0.837,0,-4.277,0,0.038,0.0242,0.563,125.074,237138,4
12,"1, 2, 3, 4",LeeHi,0.905,0.649,5,-4.116,1,0.0473,0.368,0.955,115.962,214274,4
13,춥다 It’s Cold,"Epik High, LeeHi",0.759,0.659,6,-5.695,1,0.0408,0.514,0.422,111.989,250807,4
14,Back In Time - Instrumental,"Lyn, Jeon Hayeoung",0.433,0.341,11,-10.077,0,0.0271,0.155,0.0426,73.048,206600,4
15,Memory Of The Wind,Naul,0.279,0.43,8,-7.412,1,0.0308,0.633,0.147,133.443,308187,4
16,너도 나처럼 I Wonder If You Hurt Like Me,2AM,0.59,0.48,6,-6.599,1,0.0305,0.76,0.14,127.919,228454,4
17,When I Can't Sing (내가 노래를 못해도),SE7EN,0.664,0.599,0,-6.238,1,0.0282,0.486,0.704,143.924,235427,4
18,Only One,BoA,0.641,0.645,0,-6.54,1,0.0366,0.136,0.546,90.027,217085,4
19,너뿐이야 You're the One,J.Y. Park,0.755,0.724,11,-4.13,0,0.0425,0.0361,0.692,97.01,202249,4
20,충분히 예뻐 You Deserve Better (Beautiful Enough),"Verbal Jint, Sanchez",0.586,0.69,8,-5.106,0,0.261,0.277,0.625,79.551,225880,4
21,Without You,Dynamicduo,0.647,0.632,1,-6.446,0,0.203,0.344,0.734,84.717,239794,4
22,question mark,"Primary, CHOIZA, Zion.T",0.702,0.733,3,-3.527,0,0.12,0.216,0.926,96.02,194116,4
23,Cherry Blossom Ending,Busker Busker,0.621,0.669,9,-5.303,1,0.0312,0.739,0.663,119.947,260518,4
24,All For You,"Seo In Guk, JEONG EUN JI",0.477,0.756,2,-3.986,1,0.0615,0.38,0.43,207.792,248190,4
25,남자 없이 잘 살아,miss A,0.753,0.757,0,-4.004,1,0.0366,0.0202,0.893,155.993,210705,4
26,Twinkle,Girls' Generation-TTS,0.809,0.883,1,-2.1,0,0.0498,0.239,0.962,110.034,206732,4
27,WARRIOR,B.A.P,0.688,0.957,8,-1.184,1,0.0831,0.0297,0.305,105.015,206904,4
28,Lovey-Dovey,T-ARA,0.796,0.742,6,-4.117,0,0.0631,0.0704,0.545,128.063,215249,4
29,아름다운 밤 (Beautiful Night) [Originally Performed By Ulala Session] - Karaoke,Groove Edition,0.418,0.929,1,-6.386,1,0.0371,0.000367,0.22,173.917,223399,4
