,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,TT,TWICE,0.708,0.852,2,-4.398,1,0.0851,0.0525,0.396,129.946,212987,4
1,Monster,EXO,0.618,0.76,6,-4.312,1,0.0596,0.0066,0.541,150.0,221341,4
2,FXXK IT,BIGBANG,0.716,0.763,0,-3.001,0,0.0945,0.147,0.575,90.101,231748,4
3,Burning Up (Fire),BTS,0.627,0.706,10,-3.201,0,0.0597,0.00227,0.536,99.93,203352,4
4,PICK ME,PRODUCE 101,0.685,0.935,9,-2.056,1,0.125,0.029,0.622,128.024,226875,4
5,Why So Lonely,Wonder Girls,0.634,0.726,7,-5.086,1,0.133,0.111,0.809,155.161,206707,4
6,WHISTLE,BLACKPINK,0.818,0.723,11,-4.82,1,0.114,0.00561,0.607,102.945,211632,4
7,러시안 룰렛 Russian Roulette,Red Velvet,0.726,0.903,7,-2.277,0,0.0357,0.055,0.958,129.986,211244,4
8,Tell Me What To Do,SHINee,0.602,0.926,7,-1.78,1,0.177,0.102,0.288,125.107,246787,4
9,Just Like a Dream,BEN,0.355,0.577,4,-5.796,1,0.0433,0.699,0.238,135.536,226715,4
10,Rain,TAEYEON,0.567,0.687,8,-3.269,1,0.0329,0.538,0.406,76.024,222047,4
11,No matter where,M.C the Max,0.463,0.45,6,-6.104,1,0.0301,0.568,0.331,131.69,331155,4
12,BREATHE,LeeHi,0.616,0.251,8,-8.454,1,0.038,0.803,0.356,123.802,288915,4
13,Bye bye my blue,Yerin Baek,0.511,0.539,3,-6.726,1,0.114,0.613,0.297,87.702,203410,4
14,Galaxy 우주를 줄게,BOL4,0.483,0.814,0,-2.407,1,0.143,0.683,0.696,82.814,213853,4
15,Toy,Block B,0.639,0.618,7,-5.397,1,0.0969,0.0441,0.392,90.07,206468,4
16,ALWAYS,Yoon Mirae,0.419,0.605,10,-3.452,1,0.0333,0.778,0.284,128.629,205193,4
17,Don't Come Back,"HEIZE, Yong Jun Hyung",0.486,0.524,7,-5.832,1,0.0631,0.548,0.265,92.11,217040,4
18,"I Am You, You Are Me",ZICO,0.768,0.618,9,-6.928,0,0.0529,0.317,0.7,96.975,213252,4
19,D (Half Moon),"DEAN, Gaeko",0.512,0.765,7,-5.252,1,0.136,0.246,0.519,169.709,229360,4
20,Day Day (Prod. By GRAY),"BewhY, Jay Park",0.824,0.883,10,-2.37,0,0.072,0.0718,0.871,117.987,209020,4
21,Don’t Forget,"Crush, TAEYEON",0.661,0.629,5,-5.81,1,0.0327,0.438,0.258,93.948,219107,4
22,You’re the Best,MAMAMOO,0.683,0.86,5,-3.243,0,0.0471,0.0395,0.703,122.03,230915,4
23,RE-BYE,AKMU,0.799,0.608,2,-5.474,0,0.068,0.476,0.924,127.995,188717,4
24,Very Very Very,I.O.I,0.744,0.963,7,-1.525,1,0.0616,0.136,0.788,102.985,203640,4
25,쏘쏘 so-so,Baek A Yeon,0.702,0.491,6,-4.441,1,0.0396,0.81,0.301,67.217,212642,4
26,봄이 좋냐?? What The Spring??,10cm,0.866,0.37,1,-5.739,1,0.0327,0.597,0.841,94.018,205752,4
27,A Little Girl,OHHYUK,0.413,0.241,3,-9.682,1,0.0356,0.417,0.153,129.786,226275,4
28,You Are My Everything,Gummy,0.335,0.498,6,-5.121,1,0.0381,0.658,0.104,135.057,240590,4
29,봄인가 봐 Spring Love,"WENDY, Eric Nam",0.68,0.391,11,-6.906,1,0.0357,0.723,0.419,82.861,198750,4
