,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,View,SHINee,0.728,0.801,6,-4.428,0,0.0439,0.04,0.656,123.953,190821,4
1,BANG BANG BANG,BIGBANG,0.69,0.843,1,-2.949,1,0.0534,0.0167,0.428,135.01,220178,4
2,LOVE ME RIGHT,EXO,0.625,0.83,0,-2.33,1,0.0764,0.00266,0.757,110.04,205129,4
3,Dope,BTS,0.579,0.896,10,-2.781,0,0.224,0.0272,0.678,153.991,240021,4
4,I,"TAEYEON, Verbal Jint",0.506,0.788,9,-2.372,1,0.0324,0.0666,0.233,89.993,206039,4
5,I Feel You,Wonder Girls,0.491,0.897,10,-3.912,1,0.0544,0.0256,0.533,118.771,205373,4
6,다른 남자 말고 너 Only You,miss A,0.638,0.767,0,-3.155,1,0.132,0.0527,0.406,168.076,198009,4
7,MY TYPE,iKON,0.789,0.55,1,-5.595,1,0.0392,0.202,0.698,93.984,210903,4
8,4 Walls,f(x),0.735,0.849,4,-4.308,0,0.129,0.212,0.223,125.972,207477,4
9,I Need U,BTS,0.486,0.88,5,-3.097,0,0.0706,0.0215,0.71,158.043,210987,4
10,Ice Cream Cake,Red Velvet,0.58,0.935,9,-3.348,1,0.189,0.0318,0.603,172.023,191440,4
11,어머님이 누구니 (Who's your mama?) (Feat. Jessi),J.Y. Park,0.692,0.83,1,-3.813,1,0.177,0.0262,0.53,115.006,221123,4
12,CALL ME BABY,EXO,0.692,0.886,1,-2.519,1,0.0519,0.284,0.879,100.03,211013,4
13,Devil,SUPER JUNIOR,0.773,0.865,4,-3.027,0,0.114,0.133,0.968,145.003,216585,4
14,Oasis,"Crush, ZICO",0.46,0.81,4,-4.158,0,0.254,0.222,0.836,96.207,191279,4
15,Boys And Girls,"ZICO, Babylon",0.815,0.75,1,-3.029,1,0.058,0.04,0.611,103.034,200170,4
16,CELEPRETTY,Park Boram,0.693,0.955,11,-1.476,1,0.0474,0.445,0.956,138.974,190776,4
17,Who Are You,"BoA, Gaeko",0.738,0.902,2,-2.362,1,0.0559,0.193,0.826,105.003,223721,4
18,Garosugil At Dawn,"Baek Ji Young, Song Yu Vin",0.42,0.442,9,-4.883,1,0.03,0.785,0.309,149.449,222234,3
19,Living in the same time,Naul,0.447,0.504,0,-6.472,1,0.0395,0.861,0.334,133.632,250480,4
20,Two Lovers,"DAVICHI, Mad Clown",0.534,0.755,7,-4.417,1,0.156,0.287,0.754,178.114,225750,4
21,PARTY,Girls' Generation,0.753,0.887,10,-2.975,0,0.0359,0.111,0.946,122.981,193814,4
22,이럴거면 그러지말지 Shouldn't Have… (feat. Young K),Baek A Yeon,0.496,0.639,6,-3.145,1,0.0809,0.712,0.442,170.917,212762,3
23,Eat,Zion.T,0.662,0.293,4,-11.311,1,0.124,0.494,0.297,91.154,161618,4
24,Ordinary Love (feat. Park Boram),"Park Kyung, Park Boram",0.739,0.706,9,-6.534,1,0.152,0.219,0.558,144.112,232867,4
25,데자-부 (Déjà-Boo),"JONGHYUN, Zion.T",0.818,0.748,5,-4.296,1,0.148,0.122,0.801,108.117,209176,4
26,Dumb Dumb,Red Velvet,0.778,0.789,7,-4.297,0,0.0503,0.0334,0.799,145.99,202543,4
27,Ah Yeah,EXID,0.762,0.939,11,-2.688,0,0.054,0.0483,0.428,117.986,199643,4
28,Chained Up,VIXX,0.728,0.941,9,-2.044,0,0.188,0.0955,0.924,92.065,192922,4
29,DADDY,"PSY, CL",0.762,0.869,6,-3.287,0,0.13,0.0793,0.747,132.05,230635,4
