,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Show Me Your Love,S.E.S.,0.724,0.79,4,-4.188,0,0.0413,0.113,0.632,79.998,340907,4
1,Like Yesterday - Mixed,Paul Cherry,0.699,0.341,3,-14.693,0,0.0564,0.831,0.702,148.042,225498,4
2,You Mean Everything To Me,Lena Park,0.592,0.525,2,-7.486,1,0.0273,0.278,0.165,140.511,276109,4
3,아시나요,Jo Sung Mo,0.454,0.233,7,-7.781,1,0.0326,0.479,0.177,130.082,327973,4
4,다 줄꺼야 I Will Give You Everything (Acoustic Version),조규만 Cho Kyu Man,0.429,0.379,9,-7.09,1,0.036,0.676,0.23,129.819,244133,4
5,Lie - Radio Version,Park Hwayobi,0.726,0.796,3,-3.512,0,0.043,0.451,0.495,131.993,250749,4
6,ID; Peace B,BoA,0.73,0.844,9,-4.166,0,0.112,0.021,0.679,100.042,238773,4
7,쾌지나 칭칭 One Love,1TYM,0.832,0.762,8,-5.06,1,0.18,0.0136,0.827,95.077,235987,4
8,Only One,SHINHWA,0.74,0.69,0,-6.241,1,0.0439,0.0181,0.656,94.97,234400,4
9,Outside Castle (The Castle Outsiders),H.O.T.,0.464,0.745,0,-7.303,1,0.158,0.349,0.31,141.952,326293,4
10,Dash,Baek Ji Young,0.573,0.997,9,-2.266,1,0.0756,0.0212,0.692,179.482,209280,4
11,Run to You,DJ DOC,0.838,0.901,1,-3.436,1,0.0448,0.105,0.813,132.041,226160,4
12,오빠,WAX,0.822,0.923,1,-3.456,0,0.097,0.00133,0.883,142.974,206707,4
13,Tears,So Chanwhee,0.33,0.891,0,-1.82,0,0.0452,0.000427,0.149,139.952,289518,4
14,Cyber lover,TURBO,0.72,0.928,7,-2.911,1,0.0703,0.0739,0.963,151.991,222734,4
15,Blue sky,Park Ki Young,0.653,0.568,0,-8.756,1,0.141,0.00827,0.923,117.926,48248,4
16,Magic carpet ride,JAURIM,0.696,0.752,1,-4.296,1,0.0381,0.121,0.744,130.033,213933,4
17,Back To The Realife,Yoon Sang,0.73,0.8,9,-6.028,1,0.0319,0.115,0.679,122.997,210808,4
18,전설 속의 누군가처럼,Shin Seung Hun,0.533,0.656,0,-7.111,1,0.0327,0.477,0.392,172.034,322064,4
19,Cheer up Mr. Kim,Rollercoaster,0.734,0.762,5,-5.78,1,0.0438,0.0562,0.66,119.997,246947,4
20,Marry Me,Lee Hyun Woo,0.504,0.548,0,-7.807,0,0.0503,0.108,0.6,74.692,255800,4
21,해줄 수 없는 일,Park Hyo Shin,0.332,0.503,0,-5.833,1,0.03,0.706,0.144,110.065,261277,4
22,나의 연인,Lim Changjung,0.418,0.414,0,-6.536,0,0.0269,0.146,0.196,135.806,258378,4
23,줄래 : Originally Performed By 이정현 Karaoke Verison,코케,0.61,0.728,9,-13.543,0,0.0354,0.13,0.971,146.021,212618,4
24,너 : Originally Performed By 이정현 Karaoke Verison,코케,0.688,0.864,7,-10.983,0,0.0387,0.00548,0.66,137.978,203558,4
25,가시나무,Towner & Town Chief,0.341,0.336,0,-15.467,1,0.0891,0.913,0.324,77.553,234240,4
26,기도 Pray [Kbs Drmam Autumn],"S.H Project, KIM TAE-HEE",0.572,0.34,8,-9.43,1,0.0286,0.267,0.196,130.023,290920,4
27,Escape : Originally Performed By 엄정화 Karaoke Verison,코케,0.574,0.708,8,-9.402,0,0.0341,0.237,0.657,137.988,219238,4
28,와,Various Artists,0.737,0.964,9,-2.084,0,0.0403,0.0509,0.77,142.394,190436,4
29,와인,이시안,0.374,0.595,8,-4.065,0,0.0362,0.424,0.0821,143.325,237424,3
