,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Keep Your Head Down,TVXQ!,0.672,0.967,5,-2.239,0,0.321,0.0807,0.563,154.116,240880,4
1,Roly-Poly,T-ARA,0.832,0.848,7,-7.407,1,0.0545,0.0919,0.901,130.004,214427,4
2,Hands Up,2PM,0.818,0.823,3,-5.88,0,0.0398,0.00118,0.626,124.975,198199,4
3,Be Mine,INFINITE,0.688,0.926,10,-3.027,0,0.0607,0.00194,0.756,129.985,206653,4
4,Tonight,BIGBANG,0.669,0.855,3,-4.46,0,0.0445,0.00999,0.25,129.909,222413,4
5,Mr. Simple,SUPER JUNIOR,0.913,0.745,1,-2.837,1,0.0506,0.000219,0.795,127.996,241827,4
6,High High,GD&TOP,0.7,0.864,5,-4.505,1,0.0645,0.00734,0.561,129.999,186175,4
7,Hot Summer,f(x),0.769,0.966,2,-1.484,1,0.0292,0.00431,0.783,123.019,225787,4
8,Good-bye Baby,miss A,0.77,0.817,8,-4.088,0,0.0431,0.0485,0.729,138.054,225574,4
9,Crazy,"Song Ji Eun, BANG YONGGUK",0.542,0.712,6,-4.653,1,0.114,0.305,0.235,169.852,230728,4
10,제발,Kim Bum Soo,0.451,0.317,0,-7.328,0,0.0394,0.593,0.153,122.402,281875,4
11,Lonely,2NE1,0.588,0.568,4,-2.787,1,0.0271,0.225,0.393,94.83,209987,4
12,Be My Baby,Wonder Girls,0.62,0.829,1,-5.511,1,0.069,0.105,0.431,165.027,211812,4
13,반짝반짝,Girl's Day,0.708,0.885,8,-2.39,1,0.0523,0.0422,0.44,149.98,186000,4
14,Shy Boy,Secret,0.659,0.817,0,-3.447,1,0.218,0.106,0.858,174.003,218084,4
15,The Boys,Girls' Generation,0.876,0.937,1,-0.593,0,0.093,0.162,0.902,114.982,226907,4
16,Sixth Sense,Brown Eyed Girls,0.673,0.933,5,-1.414,0,0.169,0.0279,0.662,127.905,227866,4
17,좋아보여 (feat. 검정치마),"Verbal Jint, The Black Skirts",0.782,0.878,10,-3.506,0,0.25,0.233,0.641,87.998,208253,4
18,In Heaven - Narration 김정은 Version,JYJ,0.506,0.572,3,-6.871,0,0.0433,0.295,0.297,75.921,288589,4
19,그 남자 그 여자,"4MEN, MIIII",0.451,0.503,4,-5.446,0,0.0443,0.731,0.155,132.566,251387,4
20,The Love,Lim Jae Bum,0.431,0.412,1,-6.406,1,0.0284,0.662,0.189,129.584,276747,4
21,Even Now,Sung Si Kyung,0.398,0.465,6,-5.9,1,0.0307,0.818,0.212,134.036,232060,4
22,이젠 그랬으면 좋겠네,Lena Park,0.39,0.314,8,-8.157,1,0.0328,0.823,0.278,126.75,302329,4
23,Someday - Piano Arrangement,Shin Giwon Piano,0.806,0.35,9,-17.327,1,0.0465,0.99,0.625,100.018,252900,4
24,안녕이라고 말하지마,DAVICHI,0.684,0.712,10,-2.963,1,0.0291,0.413,0.49,113.98,231800,4
25,가슴 시린 이야기 : Originally Performed By 휘성 Karaoke Verison,코케,0.442,0.632,9,-13.852,1,0.0298,0.464,0.555,102.005,203240,4
26,서쪽 하늘,Lee Seung Chul,0.41,0.463,7,-6.913,0,0.0292,0.607,0.116,109.975,243933,4
27,You are the best of my life(47294),KY Noraebang,0.541,0.888,5,-6.139,1,0.0296,0.0875,0.662,145.95,191565,4
28,방콕시티 : Originally Performed By 오렌지캬라멜 Karaoke Verison,코케,0.616,0.573,4,-15.002,0,0.029,0.292,0.794,131.987,172733,4
