,title,artist/s,danceability,energy,key,loudness,mode,speechiness,acousticness,valence,tempo,duration_ms,time_signature
0,Up & Down,EXID,0.714,0.812,7,-2.703,1,0.0351,0.00189,0.377,112.018,189882,4
1,Overdose,EXO-K,0.498,0.917,5,-1.797,0,0.164,0.0615,0.652,112.357,205612,5
2,200%,"AKMU, 로빈, 이찬혁, LEE SUHYUN",0.853,0.638,1,-4.911,1,0.0536,0.379,0.872,102.064,193321,4
3,보름달,"SUNMI, Lena",0.505,0.958,8,-3.202,0,0.337,0.264,0.743,176.016,202180,4
4,"눈,코,입 (Eyes, Nose, Lips)",TAEYANG,0.63,0.516,0,-5.759,1,0.0379,0.736,0.254,143.786,229990,4
5,Mr.Mr.,Girls' Generation,0.701,0.964,4,-2.037,0,0.127,0.114,0.484,113.058,235434,4
6,헤픈엔딩 Happen Ending,"Epik High, Joe Won Sun",0.827,0.636,11,-5.78,0,0.0427,0.0401,0.587,100.007,264349,4
7,BEAUTIFUL,"Park Boram, ZICO",0.763,0.802,0,-2.533,1,0.0553,0.165,0.924,129.972,209464,4
8,광화문에서 (At Gwanghwamun),KYUHYUN,0.53,0.375,3,-6.268,1,0.0285,0.72,0.204,135.821,282806,4
9,GOOD BOY,GD X TAEYANG,0.745,0.825,1,-3.162,0,0.0352,0.000875,0.242,94.998,245192,4
10,HER,Block B,0.646,0.897,8,-2.057,1,0.193,0.0453,0.86,162.017,179053,4
11,I'm Different,"HI SUHYUN, BOBBY",0.851,0.845,2,-2.293,0,0.0341,0.119,0.949,109.0,214254,4
12,공허해 empty,WINNER,0.619,0.698,0,-6.618,1,0.042,0.146,0.575,90.055,220358,4
13,COME BACK HOME,2NE1,0.572,0.84,0,-3.349,0,0.126,0.155,0.146,149.864,229627,4
14,Difficult Woman,Jang Beom June,0.712,0.74,11,-4.423,1,0.0445,0.102,0.747,119.959,231907,4
15,Sleepless Night (feat. Punch),"Crush, Punch",0.599,0.575,10,-5.792,1,0.0315,0.449,0.491,151.994,237539,4
16,Every moment of you 너의 모든 순간,Sung Si Kyung,0.366,0.385,10,-7.952,1,0.0336,0.816,0.244,139.982,243324,4
17,Wild Flower,Park Hyo Shin,0.281,0.322,8,-9.145,1,0.0309,0.722,0.247,134.699,314254,3
18,사랑에 빠지고 싶다,Jung Seung Hwan,0.511,0.0703,3,-15.846,1,0.0436,0.795,0.203,122.449,145334,4
19,Wind that Blows,M.C the Max,0.315,0.429,8,-6.856,1,0.0353,0.476,0.155,144.18,238465,4
20,No Answer,Hong Dae Kwang,0.585,0.77,10,-4.434,0,0.114,0.46,0.373,87.893,244752,4
21,Good bye 안녕,Hyolyn,0.581,0.446,10,-8.412,1,0.0297,0.766,0.395,79.975,218920,4
22,I Love You Too,"Drunken Tiger, Yoon Mirae",0.599,0.696,1,-3.771,1,0.397,0.511,0.714,86.076,193400,4
23,Can’t hide it,15&,0.588,0.744,6,-3.199,0,0.0586,0.133,0.648,96.03,184327,4
24,Good-night Kiss,Jun Hyo Seong,0.73,0.793,7,-4.605,1,0.0889,0.0676,0.716,132.987,205584,4
25,HAPPY TOGETHER,Park Hyo Shin,0.453,0.505,8,-7.891,1,0.0493,0.72,0.194,85.693,252140,4
26,사랑에 빠지고 싶다,Jung Seung Hwan,0.511,0.0703,3,-15.846,1,0.0436,0.795,0.203,122.449,145334,4
27,Three of Us,"TOY, Sung Si Kyung",0.494,0.671,5,-4.599,0,0.0365,0.529,0.33,88.972,285585,4
28,Good Luck,Beast,0.565,0.938,10,-2.756,0,0.106,0.094,0.577,100.043,202162,4
29,우산 (feat. 윤하),"Epik High, Younha",0.744,0.71,6,-5.939,1,0.0279,0.393,0.346,113.003,301720,4
